striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
A Adekunle,T20I,112,9.25,65.97,9.15,65.75,100.7,Good
A Aikenhead,T20I,131,26.165,94.39500000000001,16.21,90.44,132.9,On Fire
A Aitken-Drummond,ODI,45,11.25,69.23,11.14,70.27,99.8,Good
A Akhigbe,T20I,14,2.0,31.695,7.17,63.7,38.8,Poor
A Akurut,T20I,10,10.0,200.0,3.5,53.85,328.6,On Fire
A Alexander,T20I,49,16.33,163.33,16.33,163.33,100.0,Good
A Alfonso,T20I,18,2.55,58.93000000000001,3.44,43.66,104.6,Good
A Amburose,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Amuzu,T20I,7,7.0,30.43,7.0,30.43,100.0,Good
A Argyropoulou,T20I,158,13.165,65.45,13.33,69.83,96.2,Good
A Athanaze,CPL,65,21.67,104.84,24.06,106.51,94.2,Good
A Athanaze,ODI,99,24.75,63.06,23.82,77.14,92.8,Good
A Athanaze,T20I,251,25.1,131.41,25.08,129.37,100.8,Good
A Athanaze,Test,221,18.42,50.46,23.67,52.35,87.1,Good
A Augastin,T20I,315,45.695,124.205,28.64,120.23,131.4,On Fire
A Awasthi,T20I,8,4.0,28.57,4.0,28.57,100.0,Good
A Badoni,IPL,544,27.2,150.33999999999997,25.61,140.91,106.5,Good
A Balbirnie,ODI,190,38.0,71.16,33.27,75.37,104.3,Good
A Balbirnie,Test,174,19.0,57.8,19.5,50.12,106.4,Good
A Beresford-Peirse,T20I,12,4.0,40.0,4.0,40.0,100.0,Good
A Bierwisch,T20I,24,24.0,88.89,11.25,55.33,187.0,On Fire
A Bosch,ODI,139,26.715,80.105,21.48,76.83,114.3,On Fire
A Bosch,T20I,25,8.33,100.0,24.61,109.36,62.6,Average
A Brown-Carrera,T20I,5,1.67,27.78,7.2,65.45,32.8,Poor
A Bushell,T20I,22,11.0,106.35,13.5,87.1,101.8,Good
A Busing-Volschenk,ODI,2,2.0,9.52,2.0,9.52,100.0,Good
A Busing-Volschenk,T20I,213,31.7,151.55,30.43,142.0,105.4,Good
A Canning,ODI,45,7.5,63.38,7.2,58.06,106.7,Good
A Canning,T20I,30,4.5,86.25,5.2,85.71,93.6,Good
A Capsey,ODI,249,31.775,85.53999999999999,21.42,77.76,129.2,On Fire
A Capsey,T20I,352,18.935,107.48500000000001,22.89,121.88,85.5,Good
A Capsey,Test,30,15.0,62.5,15.0,62.5,100.0,Good
A Capsey,WPL,16,16.0,88.89,28.93,133.66,60.9,Average
A Chandel,T20I,122,11.665,90.2,14.67,66.92,107.2,Good
A Chenthamara,T20I,3,1.5,13.635,3.0,25.0,52.3,Poor
A Cheung,T20I,11,3.67,68.75,3.67,68.75,100.0,Good
A Chilia,T20I,37,3.825,42.455,7.71,57.21,61.9,Average
A Curavic,T20I,1,0.5,25.0,0.5,20.0,112.5,On Fire
A Dalzell,ODI,22,11.0,115.28,17.33,65.82,119.3,On Fire
A Dalzell,T20I,37,6.17,82.22,6.17,82.22,100.0,Good
A Davidson Soler,T20I,2,2.0,100.0,18.4,110.84,50.5,Poor
A Davidson-Soler,T20I,36,9.0,70.59,10.0,76.92,90.9,Good
A Dcosta,T20I,81,8.17,66.56,7.53,73.86,99.3,Good
A Dercksen,ODI,681,46.989999999999995,95.235,37.55,91.59,114.6,On Fire
A Dercksen,T20I,385,29.32,125.845,23.0,120.29,116.0,On Fire
A Dhabe,T20I,77,27.835,85.965,19.25,86.52,122.0,On Fire
A Dirannehelage,T20I,100,32.375,65.885,20.0,62.11,134.0,On Fire
A Dizija,T20I,200,24.915,104.645,21.73,105.81,106.8,Good
A Djordjevic,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Donovan,T20I,423,36.69,123.205,38.64,137.99,92.1,Good
A Dowling,T20I,1,1.0,16.67,3.0,33.33,41.7,Poor
A Dutt,ODI,26,3.835,46.36,7.06,58.71,66.6,Average
A Dutt,T20I,101,16.83,122.13,12.36,106.25,125.6,On Fire
A Emch,T20I,17,17.0,94.44,17.0,85.0,105.6,Good
A Ferguson,T20I,67,17.0,94.22999999999999,27.59,93.8,81.0,Average
A Fillie,T20I,3,1.0,23.08,1.0,23.08,100.0,Good
A Fujikawa,T20I,58,28.75,50.245,11.83,65.14,160.1,On Fire
A Galan,T20I,47,4.915,37.625,4.41,40.54,102.1,Good
A Gardner,ODI,575,36.945,104.61,32.73,108.09,104.8,Good
A Gardner,T20I,222,31.71,148.0,24.82,130.1,120.8,On Fire
A Gardner,Test,45,22.5,34.305,29.64,57.8,67.6,Average
A Gardner,WPL,487,28.744999999999997,153.025,25.34,141.78,110.7,On Fire
A Gbla,T20I,123,8.0,88.44,11.68,105.48,76.2,Average
A Griffin,T20I,15,3.165,40.055,3.0,39.47,103.5,Good
A Gulati,T20I,6,6.0,150.0,6.0,150.0,100.0,Good
A Gupta,T20I,6,3.0,83.33500000000001,6.0,75.0,80.6,Average
A Gurung,T20I,21,2.415,55.99,3.63,57.5,82.0,Average
A Halbhavi,T20I,17,4.25,89.47,12.33,106.94,59.1,Poor
A Harris,T20I,16,3.2,69.57,3.57,69.44,94.9,Good
A Hartley,T20I,129,32.25,101.57,38.6,97.97,93.6,Good
A Hlubi,ODI,5,2.5,60.0,5.0,46.88,89.0,Good
A Hunter,ODI,547,51.83,90.69,33.08,86.53,130.7,On Fire
A Hunter,T20I,650,32.1,118.805,30.46,113.92,104.8,Good
A Husain,T20I,5,2.5,25.0,16.0,66.67,26.6,Poor
A Ikuzwe,T20I,270,15.61,84.78,12.82,75.98,116.7,On Fire
A Ilahi,T20I,1,0.5,12.5,0.5,12.5,100.0,Good
A Ilaoa,T20I,20,6.67,95.24,5.83,100.0,104.8,Good
A Johnmary,T20I,11,5.5,100.0,6.33,76.0,109.2,Good
A Johnson,T20I,48,9.6,96.0,31.38,147.25,47.9,Poor
A Kamboj,IPL,72,32.5,134.65,24.67,142.31,113.2,On Fire
A Kamboj,Test,0,0.0,0.0,0.0,0.0,0.0,
A Kano,T20I,61,10.17,70.11,10.04,71.5,99.7,Good
A Kanogullari,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Kanukuntla,T20I,123,14.08,60.57,13.67,54.42,107.2,Good
A Kanwal,T20I,1,1.0,11.11,1.0,11.11,100.0,Good
A Kato-Stafford,T20I,321,32.1,88.66999999999999,32.1,92.24,98.1,Good
A Katoa,T20I,31,10.33,46.27,10.33,46.27,100.0,Good
A Khaka,ODI,38,7.0,34.0,6.35,47.25,91.1,Good
A Khaka,T20I,22,7.33,70.97,9.17,63.22,96.1,Good
A Khakimov,T20I,19,6.33,31.67,6.33,31.67,100.0,Good
A Khasanov,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Khullar,T20I,4,1.33,18.18,1.33,18.18,100.0,Good
A King,ODI,133,24.1,116.08500000000001,21.07,99.33,115.6,On Fire
A King,T20I,12,6.0,95.83500000000001,13.0,90.7,75.9,Average
A King,Test,24,12.0,39.17,10.57,39.57,106.3,Good
A King,WPL,19,19.0,135.71,19.0,135.71,100.0,Good
A Kirschbaum,T20I,196,34.4,112.44,17.65,98.78,154.4,On Fire
A Kohli,T20I,57,7.4350000000000005,86.72,9.15,79.33,95.3,Good
A Kolan,T20I,100,20.0,109.89,16.69,80.42,128.2,On Fire
A Konhu,T20I,19,6.33,79.17,6.33,79.17,100.0,Good
A Kontopirakis,T20I,222,16.73,92.265,17.08,93.28,98.4,Good
A Kourkoulou,T20I,10,4.665,41.07,2.5,38.46,146.7,On Fire
A Kuthalingham,T20I,37,18.5,94.87,18.5,94.87,100.0,Good
A Lazic,T20I,2,2.0,66.67,2.0,66.67,100.0,Good
A Le Ray,T20I,3,3.0,33.33,3.0,33.33,100.0,Good
A Levaci,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Limdawala,T20I,376,12.559999999999999,72.125,16.52,90.04,78.1,Average
A Lister,ODI,133,44.33,94.33,30.43,84.86,128.4,On Fire
A Lister,T20I,277,14.075,102.315,16.37,117.11,86.7,Good
A Lumbe,T20I,101,11.9,52.7,12.62,48.56,101.4,Good
A Lupascu,T20I,2,2.0,22.22,2.0,22.22,100.0,Good
A Magdalenic,T20I,6,3.0,28.57,2.2,30.14,115.6,On Fire
A Makri,T20I,205,23.0,70.11500000000001,15.22,72.49,123.9,On Fire
A Manepalli,T20I,96,16.0,106.67,16.12,105.74,100.1,Good
A Manohar,IPL,61,12.2,100.0,15.37,124.26,79.9,Average
A Mansale,T20I,109,18.17,101.87,23.48,114.26,83.3,Average
A Mare,T20I,8,4.0,57.14,12.8,69.31,56.8,Poor
A Martel,T20I,32,8.0,103.94,11.12,108.54,83.9,Average
A Mazvishaya,ODI,20,6.75,74.7,14.8,51.39,95.5,Good
A Mazvishaya,T20I,27,27.0,55.1,22.5,58.44,107.1,Good
A McAuley,T20I,54,27.0,108.0,19.56,93.62,126.7,On Fire
A McKnight,T20I,67,33.5,90.54,33.5,90.54,100.0,Good
A Merritt,T20I,215,37.644999999999996,132.595,27.81,116.49,124.6,On Fire
A Mesarovic,T20I,80,80.0,115.94,56.67,129.77,115.3,On Fire
A Meyenborg,T20I,4,1.0,18.18,4.0,23.53,51.1,Poor
A Mhatre,IPL,441,37.245000000000005,183.43,36.75,183.75,100.6,Good
A Mohamed,T20I,34,17.0,59.65,11.27,73.81,115.8,On Fire
A Mokgotlhe,T20I,188,23.5,117.595,14.45,99.52,140.4,On Fire
A Mongar,T20I,11,3.5,45.0,5.0,46.88,83.0,Average
A Morris,T20I,16,16.0,45.71,7.5,44.78,157.7,On Fire
A Mossop,T20I,29,29.0,54.72,29.0,54.72,100.0,Good
A Motorwala,T20I,2,1.0,28.57,0.67,25.0,131.8,On Fire
A Mucyodusenge,T20I,11,3.67,45.83,3.67,45.83,100.0,Good
A Mundra,T20I,537,24.71,144.235,28.75,157.53,88.8,Good
A Munisar,ODI,9,1.5,10.975,2.6,20.0,56.3,Poor
A Musaev,T20I,17,8.5,70.83,8.5,70.83,100.0,Good
A Nagarajan,T20I,62,15.5,87.32,13.8,89.61,104.9,Good
A Nanda,T20I,12,12.0,171.43,10.17,98.39,146.1,On Fire
A Nao,T20I,49,24.5,100.0,26.25,112.9,91.0,Good
A Natubhai Ahir,T20I,83,20.75,118.61000000000001,14.68,96.42,132.2,On Fire
A Nookala,T20I,1,0.5,12.5,0.2,3.57,300.1,On Fire
A Nortje,IPL,0,0.0,0.0,8.17,98.0,0.0,
A Nortje,T20I,13,6.5,86.67,3.75,60.0,158.9,On Fire
A Ostergaard,T20I,154,22.335,75.61,15.17,76.15,123.3,On Fire
A Oxley,T20I,117,58.5,106.36,33.29,87.59,148.6,On Fire
A Parima,T20I,170,17.0,101.375,19.26,116.19,87.8,Good
A Patmore,T20I,171,19.165,87.925,15.83,87.96,110.5,On Fire
A Paul,T20I,11,5.5,90.91,12.5,80.65,78.4,Average
A Pavlickova,T20I,1,1.0,6.25,1.0,6.25,100.0,Good
A Perera,T20I,183,14.4,72.495,11.04,70.11,116.9,On Fire
A Phillip,Test,79,7.9,12.345,16.5,30.84,44.0,Poor
A Prashar,T20I,86,21.5,159.26,21.0,168.0,98.6,Good
A Prince,T20I,1,0.33,14.29,1.86,30.23,32.5,Poor
A Pusthay,T20I,151,13.71,87.305,16.54,94.3,87.7,Good
A Raghuvanshi,IPL,722,40.11,143.03,35.4,145.56,105.8,Good
A Rameshan,T20I,39,13.165,74.765,15.29,66.88,98.9,Good
A Randhawa,T20I,245,17.884999999999998,107.86500000000001,15.19,87.58,120.5,On Fire
A Rautela,T20I,10,5.0,27.03,5.0,27.03,100.0,Good
A Raza,T20I,206,13.605,134.54000000000002,13.5,146.25,96.4,Good
A Razmilic,T20I,2,0.335,9.09,0.33,9.52,98.5,Good
A Reddy,ODI,37,12.33,77.08,9.67,63.74,124.2,On Fire
A Reddy,T20I,75,21.25,154.89,8.88,103.65,194.4,On Fire
