match_id,striker,batting_team,bowling_team,venue,start_date,format,runs,balls_faced,fours,sixes,dismissed,strike_rate,year
63963,A Flintoff,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,0,4,0,0,1,0.0,2001
63963,A Kumble,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,14,42,2,0,1,33.33,2001
63963,AF Giles,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,28,80,3,0,1,35.0,2001
63963,C White,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,39,93,6,0,1,41.94,2001
63963,D Dasgupta,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,0,7,0,0,1,0.0,2001
63963,Harbhajan Singh,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,8,27,0,0,1,29.63,2001
63963,J Srinath,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,2,5,0,0,0,40.0,2001
63963,JS Foster,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,48,142,4,0,1,33.8,2001
63963,MA Butcher,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,50,76,6,0,1,65.79,2001
63963,ME Trescothick,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,17,43,1,0,1,39.53,2001
63963,MJ Hoggard,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,1,10,0,0,1,10.0,2001
63963,MP Vaughan,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,64,138,8,0,1,46.38,2001
63963,MR Ramprakash,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,58,133,5,0,1,43.61,2001
63963,N Hussain,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,43,64,5,1,1,67.19,2001
63963,R Dravid,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,3,61,0,0,1,4.92,2001
63963,RKJ Dawson,England,India,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,0,4,0,0,0,0.0,2001
63963,SC Ganguly,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,0,3,0,0,1,0.0,2001
63963,SR Tendulkar,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,90,198,13,0,1,45.45,2001
63963,SS Das,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,28,105,4,0,1,26.67,2001
63963,Sarandeep Singh,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,4,16,0,0,1,25.0,2001
63963,V Sehwag,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,66,88,13,0,1,75.0,2001
63963,VVS Laxman,India,England,"M Chinnaswamy Stadium, Bangalore",2001-12-19,Test,12,18,2,0,1,66.67,2001
64012,AC Gilchrist,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,11,19,2,0,1,57.89,2002
64012,AR Caddick,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,27,49,2,1,1,55.1,2002
64012,C White,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,106,196,12,3,1,54.08,2002
64012,DR Martyn,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,17,33,3,0,1,51.52,2002
64012,JL Langer,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,274,463,31,1,1,59.18,2002
64012,JP Crawley,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,50,150,5,0,1,33.33,2002
64012,JS Foster,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,25,89,1,0,1,28.09,2002
64012,MA Butcher,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,31,107,3,0,1,28.97,2002
64012,ME Trescothick,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,74,121,11,2,1,61.16,2002
64012,ML Hayden,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,103,151,10,3,1,68.21,2002
64012,ML Love,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,68,155,4,0,0,43.87,2002
64012,MP Vaughan,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,156,235,21,3,1,66.38,2002
64012,N Hussain,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,47,128,6,0,1,36.72,2002
64012,RKJ Dawson,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,21,63,3,0,1,33.33,2002
64012,RT Ponting,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,51,67,6,1,1,76.12,2002
64012,RWT Key,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,52,111,7,0,1,46.85,2002
64012,SJ Harmison,England,Australia,Melbourne Cricket Ground,2002-12-26,Test,9,29,1,0,1,31.03,2002
64012,SR Waugh,Australia,England,Melbourne Cricket Ground,2002-12-26,Test,91,142,17,0,1,64.08,2002
64013,AC Gilchrist,Australia,England,Sydney Cricket Ground,2003-01-02,Test,170,150,25,0,1,113.33,2003
64013,AJ Bichel,Australia,England,Sydney Cricket Ground,2003-01-02,Test,53,67,8,0,1,79.1,2003
64013,AJ Stewart,England,Australia,Sydney Cricket Ground,2003-01-02,Test,109,168,18,0,1,64.88,2003
64013,AR Caddick,England,Australia,Sydney Cricket Ground,2003-01-02,Test,15,55,1,0,1,27.27,2003
64013,B Lee,Australia,England,Sydney Cricket Ground,2003-01-02,Test,46,33,9,1,1,139.39,2003
64013,DR Martyn,Australia,England,Sydney Cricket Ground,2003-01-02,Test,47,150,6,0,1,31.33,2003
64013,JL Langer,Australia,England,Sydney Cricket Ground,2003-01-02,Test,28,52,3,0,1,53.85,2003
64013,JN Gillespie,Australia,England,Sydney Cricket Ground,2003-01-02,Test,34,119,2,1,0,28.57,2003
64013,JP Crawley,England,Australia,Sydney Cricket Ground,2003-01-02,Test,43,157,4,0,1,27.39,2003
64013,MA Butcher,England,Australia,Sydney Cricket Ground,2003-01-02,Test,158,341,23,0,1,46.33,2003
64013,ME Trescothick,England,Australia,Sydney Cricket Ground,2003-01-02,Test,41,61,6,0,1,67.21,2003
64013,MJ Hoggard,England,Australia,Sydney Cricket Ground,2003-01-02,Test,0,15,0,0,1,0.0,2003
64013,ML Hayden,Australia,England,Sydney Cricket Ground,2003-01-02,Test,17,17,2,0,1,100.0,2003
64013,ML Love,Australia,England,Sydney Cricket Ground,2003-01-02,Test,27,56,3,0,1,48.21,2003
64013,MP Vaughan,England,Australia,Sydney Cricket Ground,2003-01-02,Test,183,285,27,1,1,64.21,2003
64013,N Hussain,England,Australia,Sydney Cricket Ground,2003-01-02,Test,147,330,17,0,1,44.55,2003
64013,RKJ Dawson,England,Australia,Sydney Cricket Ground,2003-01-02,Test,14,44,1,0,1,31.82,2003
64013,RT Ponting,Australia,England,Sydney Cricket Ground,2003-01-02,Test,18,22,3,0,1,81.82,2003
64013,RWT Key,England,Australia,Sydney Cricket Ground,2003-01-02,Test,17,53,1,0,1,32.08,2003
64013,SCG MacGill,Australia,England,Sydney Cricket Ground,2003-01-02,Test,2,7,0,0,1,28.57,2003
64013,SJ Harmison,England,Australia,Sydney Cricket Ground,2003-01-02,Test,24,27,5,0,0,88.89,2003
64013,SR Waugh,Australia,England,Sydney Cricket Ground,2003-01-02,Test,108,146,19,0,1,73.97,2003
64022,Abdul Razzaq,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,23,45,3,1,1,51.11,2002
64022,Faisal Iqbal,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,23,45,3,0,1,51.11,2002
64022,G Kirsten,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,56,118,9,0,1,47.46,2002
64022,GC Smith,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,29,66,5,0,1,43.94,2002
64022,HH Dippenaar,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,1,7,0,0,1,14.29,2002
64022,HH Gibbs,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,36,42,5,1,1,85.71,2002
64022,Inzamam-ul-Haq,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,31,70,4,0,1,44.29,2002
64022,JH Kallis,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,105,236,11,1,1,44.49,2002
64022,Kamran Akmal,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,41,52,9,0,1,78.85,2002
64022,M Hayward,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,10,18,2,0,1,55.56,2002
64022,M Ntini,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,0,3,0,0,1,0.0,2002
64022,MV Boucher,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,55,108,7,0,1,50.93,2002
64022,Mohammad Sami,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,11,18,0,1,0,61.11,2002
64022,N Boje,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,37,58,4,0,0,63.79,2002
64022,ND McKenzie,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,24,41,4,0,1,58.54,2002
64022,SM Pollock,South Africa,Pakistan,"Kingsmead, Durban",2002-12-26,Test,21,27,3,0,1,77.78,2002
64022,Saleem Elahi,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,57,184,7,0,1,30.98,2002
64022,Saqlain Mushtaq,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,4,23,0,0,1,17.39,2002
64022,Taufeeq Umar,Pakistan,South Africa,"Kingsmead, Durban",2002-12-26,Test,78,180,11,0,1,43.33,2002
