striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
V Kohli,ODI,4,56.78,93.89,9.83,44.74,14819,5949.5
JE Root,Test,4,50.05,57.53,6.4,67.89,14114,4632.7
AN Cook,Test,4,45.03,46.95,5.48,74.84,12472,4206.0
KC Sangakkara,ODI,4,45.12,81.31,8.38,51.97,11640,5137.5
RG Sharma,ODI,4,49.07,92.42,11.58,52.75,11532,5642.2
SPD Smith,Test,4,55.77,53.91,6.27,71.23,10763,4758.1
MS Dhoni,ODI,4,47.35,86.92,8.43,48.6,10274,5350.6
KS Williamson,Test,4,53.46,51.98,5.99,72.74,9515,4553.3
AB de Villiers,ODI,4,55.18,101.2,10.99,43.37,9435,6003.2
V Kohli,IPL,4,38.46,134.86,16.8,32.47,9346,6373.3
V Kohli,Test,4,45.92,55.58,6.37,69.56,9230,4309.4
TM Dilshan,ODI,4,38.07,87.42,10.17,50.94,9212,4973.9
HM Amla,Test,4,46.19,50.19,6.39,73.95,9146,4227.1
DA Warner,Test,4,43.5,70.19,8.99,66.32,8786,4575.9
KC Sangakkara,Test,4,58.95,54.32,6.4,70.45,8489,4665.1
AB de Villiers,Test,4,51.46,54.8,6.74,71.35,8182,4367.5
MJ Clarke,Test,4,48.74,55.86,6.54,71.06,8139,4260.4
LRPL Taylor,ODI,4,42.99,82.99,8.24,50.24,8126,4815.3
KP Pietersen,Test,4,48.38,61.76,8.09,68.74,8079,4441.2
AD Mathews,Test,4,42.71,48.31,5.44,73.19,8073,3846.2
DPMD Jayawardene,ODI,4,34.34,80.75,7.96,51.18,8069,4419.2
HM Amla,ODI,4,49.9,88.41,9.54,48.13,7834,5222.7
Tamim Iqbal,ODI,4,38.43,79.0,9.68,57.34,7648,4511.7
LRPL Taylor,Test,4,45.22,59.22,7.65,70.29,7597,4167.8
GC Smith,Test,4,48.62,60.73,7.79,69.06,7584,4337.1
JE Root,ODI,4,51.19,87.42,7.72,44.25,7576,5152.7
IR Bell,Test,4,41.9,49.55,6.19,74.83,7416,3784.5
JH Kallis,Test,4,53.66,49.81,5.94,72.75,7405,4210.8
RG Sharma,IPL,4,28.75,132.88,17.85,37.74,7331,5674.2
BA Stokes,Test,4,34.63,58.53,7.81,71.81,7273,3723.2
CA Pujara,Test,4,44.47,44.29,5.41,76.76,7160,3717.4
KS Williamson,ODI,4,49.28,81.68,8.2,51.5,7145,4865.1
Azhar Ali,Test,4,42.01,41.93,4.23,76.46,7142,3511.0
Younis Khan,Test,4,52.08,51.84,5.65,71.39,7135,4119.9
MJ Guptill,ODI,4,41.67,87.26,11.24,56.97,7125,4778.8
FDM Karunaratne,Test,4,38.45,51.06,5.47,71.55,7113,3582.7
Mushfiqur Rahim,ODI,4,37.35,80.79,7.54,49.5,7096,4382.6
Q de Kock,ODI,4,47.07,96.77,12.72,50.68,7014,5285.3
MJ Clarke,ODI,4,42.61,78.18,6.97,51.72,6988,4457.7
RT Ponting,ODI,4,40.34,82.29,8.94,53.68,6979,4531.7
EJG Morgan,ODI,4,37.58,91.75,10.42,51.23,6953,4689.3
Yuvraj Singh,ODI,4,40.07,87.87,10.93,53.67,6932,4724.8
S Dhawan,IPL,4,34.89,127.09,17.29,36.99,6769,5713.1
S Dhawan,ODI,4,43.72,91.51,12.45,53.07,6733,4992.3
RT Ponting,Test,4,46.76,58.74,6.95,69.35,6733,4051.9
Shakib Al Hasan,ODI,4,37.72,83.71,8.46,48.8,6638,4439.7
DA Warner,ODI,4,43.57,97.0,12.1,51.36,6623,5047.5
DPMD Jayawardene,Test,4,50.11,51.28,5.95,71.66,6615,3980.3
DA Warner,IPL,4,40.04,139.66,19.12,36.43,6567,6180.5
Mushfiqur Rahim,Test,4,39.77,48.77,5.86,73.53,6522,3537.7
WU Tharanga,ODI,4,34.3,75.68,9.27,59.14,6482,4082.8
TWM Latham,Test,4,38.86,48.17,5.59,74.73,6450,3466.4
SR Tendulkar,ODI,4,48.01,86.77,11.25,55.19,6433,4932.0
CH Gayle,ODI,4,34.4,89.47,12.85,60.35,6433,4492.1
LD Chandimal,Test,4,41.44,50.29,5.65,72.41,6423,3592.6
SR Tendulkar,Test,4,51.74,54.07,6.94,71.68,6416,4116.3
Mohammad Hafeez,ODI,4,32.74,77.65,9.06,58.56,6351,4026.3
Babar Azam,ODI,4,53.18,87.16,8.99,48.95,6328,5054.1
UT Khawaja,Test,4,42.96,48.83,5.46,73.63,6229,3587.5
JM Bairstow,Test,4,35.54,59.07,7.61,70.58,6042,3566.8
S Chanderpaul,Test,4,54.5,44.23,4.64,75.1,5995,3866.6
Shoaib Malik,ODI,4,34.98,83.16,7.9,50.43,5981,4170.1
V Sehwag,Test,4,45.56,85.06,12.94,60.85,5969,4778.6
R Dravid,Test,4,47.4,43.14,5.39,76.24,5925,3624.8
KC Brathwaite,Test,4,32.2,40.79,4.21,77.72,5924,2943.3
SD Hope,ODI,4,46.55,81.51,8.19,52.2,5865,4557.7
KL Rahul,IPL,3,45.18,139.16,17.86,32.74,5828,6224.2
MEK Hussey,Test,4,49.39,49.37,5.73,73.71,5779,3786.7
BB McCullum,Test,4,38.78,65.59,9.07,68.8,5778,3853.7
V Sehwag,ODI,4,35.57,105.9,16.1,51.53,5763,5006.3
SPD Smith,ODI,4,41.68,86.91,8.71,48.27,5668,4511.4
AD Mathews,ODI,4,36.43,83.76,8.0,49.16,5646,4207.4
AJ Strauss,Test,4,37.12,48.05,5.94,75.06,5605,3296.1
