striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
A Adekunle,L Cardoso,T20I,22,16,0,2,0,13,72.73,16.0
A Adekunle,L Malino,T20I,14,7,1,1,0,11,50.0,7.0
A Adekunle,L Moises,T20I,14,13,0,2,0,8,92.86,13.0
A Adekunle,LV Boas,T20I,13,8,0,0,0,7,61.54,8.0
A Adekunle,M Ribeiro,T20I,13,11,0,1,0,6,84.62,11.0
A Adekunle,NC Monteiro,T20I,18,12,1,1,0,9,66.67,12.0
A Aikenhead,A Le Ray,T20I,12,8,1,1,0,6,66.67,8.0
A Aikenhead,AIV Benatar,T20I,18,15,1,0,0,7,83.33,15.0
A Aikenhead,E Bourgaize,T20I,15,26,0,3,0,2,173.33,26.0
A Aikenhead,E Millington,T20I,12,14,0,2,0,4,116.67,14.0
A Aikenhead,EAS Ferrary,T20I,17,16,0,2,0,7,94.12,16.0
A Aikenhead,ECB Moore,T20I,12,8,0,0,0,7,66.67,8.0
A Aikenhead,G Shukla,T20I,13,14,0,2,0,7,107.69,14.0
A Aikenhead,IJR Zwilling,T20I,12,5,1,0,0,8,41.67,5.0
A Aikenhead,Jayasooriya,T20I,13,10,0,1,0,7,76.92,10.0
A Aikenhead,Kanchan Rana,T20I,12,18,0,3,0,4,150.0,18.0
A Aikenhead,L Barnett,T20I,17,13,1,2,0,11,76.47,13.0
A Aikenhead,M Robinson,T20I,17,13,0,2,0,10,76.47,13.0
A Aikenhead,NH Berejo,T20I,15,10,0,1,0,8,66.67,10.0
A Aikenhead,S Kanankege,T20I,11,13,0,2,0,5,118.18,13.0
A Aikenhead,Uswa Syed,T20I,10,13,0,2,0,4,130.0,13.0
A Aitken-Drummond,AN Kelly,T20I,21,8,1,0,0,14,38.1,8.0
A Aitken-Drummond,C Murray,T20I,10,3,3,0,0,7,30.0,1.0
A Aitken-Drummond,CA Henry,ODI,14,13,0,2,0,8,92.86,13.0
A Aitken-Drummond,EAJ Richardson,T20I,18,21,0,4,0,9,116.67,21.0
A Aitken-Drummond,GP Tom,ODI,14,4,1,0,0,11,28.57,4.0
A Aitken-Drummond,HWA Landheer,ODI,11,13,1,3,0,7,118.18,13.0
A Aitken-Drummond,L Delany,T20I,18,15,2,1,1,11,83.33,7.5
A Aitken-Drummond,L Paul,T20I,10,4,0,0,0,6,40.0,4.0
A Aitken-Drummond,P Maya,ODI,18,18,0,4,0,12,100.0,18.0
A Aitken-Drummond,V Buruka,T20I,11,9,0,1,0,7,81.82,9.0
A Aitken-Drummond,Z James,ODI,12,1,0,0,0,11,8.33,1.0
A Akhigbe,A Ikuzwe,T20I,22,8,1,1,0,17,36.36,8.0
A Akhigbe,G Matome,T20I,12,13,1,3,0,8,108.33,13.0
