striker,opponent,format,innings,runs,balls_faced,dismissals,fours,sixes,average,strike_rate
A Adekunle,Brazil,T20I,4,75,92,2,8,0,37.5,81.52
A Adekunle,Kenya,T20I,1,0,2,1,0,0,0.0,0.0
A Adekunle,Malawi,T20I,2,12,22,2,1,0,6.0,54.55
A Adekunle,Namibia,T20I,1,1,5,1,0,0,1.0,20.0
A Adekunle,Rwanda,T20I,6,19,38,6,1,0,3.17,50.0
A Adekunle,Tanzania,T20I,1,5,3,0,0,0,5.0,166.67
A Adekunle,Uganda,T20I,3,6,17,1,0,0,6.0,35.29
A Adekunle,Zimbabwe,T20I,1,1,2,0,0,0,1.0,50.0
A Ahmadhel,Luxembourg,T20I,1,4,5,1,1,0,4.0,80.0
A Ahmadhel,Malta,T20I,2,2,12,3,0,0,0.67,16.67
A Ahmadhel,Romania,T20I,1,2,7,1,0,0,2.0,28.57
A Aikenhead,France,T20I,1,0,3,1,0,0,0.0,0.0
A Aikenhead,Germany,T20I,4,13,22,4,0,0,3.25,59.09
A Aikenhead,Gibraltar,T20I,2,37,41,2,3,0,18.5,90.24
A Aikenhead,Guernsey,T20I,2,25,21,2,4,0,12.5,119.05
A Aikenhead,Isle of Man,T20I,2,19,26,1,2,0,19.0,73.08
A Aikenhead,Italy,T20I,2,30,39,2,2,0,15.0,76.92
A Aikenhead,Netherlands,T20I,1,0,2,1,0,0,0.0,0.0
A Aikenhead,Spain,T20I,1,32,34,0,4,0,32.0,94.12
A Aikenhead,Sweden,T20I,2,71,63,1,9,0,71.0,112.7
A Aitken,Bangladesh,T20I,1,7,18,0,0,0,7.0,38.89
A Aitken-Drummond,Bangladesh,ODI,1,1,4,1,0,0,1.0,25.0
A Aitken-Drummond,Bangladesh,T20I,1,5,6,1,1,0,5.0,83.33
A Aitken-Drummond,Ireland,T20I,8,60,88,8,6,1,7.5,68.18
A Aitken-Drummond,Kenya,T20I,1,21,15,0,1,1,21.0,140.0
A Aitken-Drummond,Malaysia,T20I,1,43,37,1,5,0,43.0,116.22
A Aitken-Drummond,Netherlands,ODI,2,17,19,1,4,0,17.0,89.47
A Aitken-Drummond,Netherlands,T20I,2,17,27,1,1,0,17.0,62.96
A Aitken-Drummond,Pakistan,ODI,1,1,4,1,0,0,1.0,25.0
A Aitken-Drummond,Papua New Guinea,ODI,2,16,27,2,2,0,8.0,59.26
A Aitken-Drummond,Papua New Guinea,T20I,2,14,21,2,1,0,7.0,66.67
A Aitken-Drummond,Sri Lanka,T20I,1,2,7,1,0,0,2.0,28.57
A Aitken-Drummond,Thailand,ODI,1,22,25,1,4,0,22.0,88.0
A Aitken-Drummond,West Indies,ODI,1,21,32,1,3,0,21.0,65.62
A Akhigbe,Botswana,T20I,1,13,12,1,3,0,13.0,108.33
A Akhigbe,Brazil,T20I,1,3,8,2,0,0,1.5,37.5
A Akhigbe,Cameroon,T20I,1,1,2,0,0,0,1.0,50.0
A Akhigbe,Kenya,T20I,1,10,6,1,2,0,10.0,166.67
A Akhigbe,Rwanda,T20I,5,46,88,4,4,1,11.5,52.27
A Akhigbe,Sierra Leone,T20I,1,2,7,2,0,0,1.0,28.57
A Akhigbe,Tanzania,T20I,1,0,1,1,0,0,0.0,0.0
A Akhigbe,Uganda,T20I,2,11,11,1,2,0,11.0,100.0
A Akurut,Botswana,T20I,1,1,4,1,0,0,1.0,25.0
A Akurut,Cameroon,T20I,1,0,3,1,0,0,0.0,0.0
A Akurut,Hong Kong,T20I,1,10,5,0,0,1,10.0,200.0
