striker,matches,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
V Kohli,804.0,37220.0,42106.0,787.0,21648.0,3590.0,632.0,47.29,88.4,51.41,10.03
RG Sharma,755.0,27031.0,28229.0,724.0,15082.0,2567.0,959.0,37.34,95.76,53.43,12.49
DA Warner,576.0,25854.0,26738.0,633.0,14522.0,2830.0,571.0,40.84,96.69,54.31,12.72
AB de Villiers,567.0,24607.0,29020.0,522.0,16186.0,2337.0,575.0,47.14,84.79,55.78,10.03
KC Sangakkara,512.0,23811.0,32977.0,537.0,19563.0,2481.0,180.0,44.34,72.2,59.32,8.07
JE Root,370.0,22333.0,33662.0,455.0,20632.0,2208.0,112.0,49.08,66.34,61.29,6.89
MS Dhoni,688.0,22018.0,25047.0,544.0,13104.0,1799.0,599.0,40.47,87.91,52.32,9.57
KS Williamson,439.0,21329.0,30793.0,461.0,19118.0,2154.0,211.0,46.27,69.27,62.09,7.68
SPD Smith,431.0,20396.0,29536.0,460.0,18319.0,2056.0,229.0,44.34,69.05,62.02,7.74
Babar Azam,438.0,19730.0,22331.0,433.0,11621.0,2068.0,251.0,45.57,88.35,52.04,10.38
HM Amla,354.0,18829.0,28452.0,402.0,18208.0,2151.0,110.0,46.84,66.18,64.0,7.95
LRPL Taylor,468.0,18714.0,25059.0,477.0,14799.0,1795.0,306.0,39.23,74.68,59.06,8.38
DPMD Jayawardene,473.0,17964.0,25466.0,475.0,15333.0,1845.0,160.0,37.82,70.54,60.21,7.87
CH Gayle,482.0,17657.0,18028.0,487.0,10632.0,1781.0,850.0,36.26,97.94,58.97,14.59
S Dhawan,483.0,17469.0,17438.0,466.0,8689.0,2096.0,290.0,37.49,100.18,49.83,13.68
JC Buttler,500.0,17026.0,15898.0,462.0,7948.0,1612.0,601.0,36.85,107.1,49.99,13.92
Q de Kock,435.0,16744.0,16549.0,443.0,8469.0,1837.0,435.0,37.8,101.18,51.18,13.73
TM Dilshan,444.0,16492.0,19258.0,447.0,10356.0,1900.0,125.0,36.89,85.64,53.78,10.52
BB McCullum,471.0,16285.0,18199.0,496.0,10579.0,1709.0,510.0,32.83,89.48,58.13,12.19
F du Plessis,404.0,15975.0,19873.0,409.0,11434.0,1593.0,307.0,39.06,80.39,57.54,9.56
AD Mathews,410.0,15786.0,25159.0,427.0,16108.0,1406.0,247.0,36.97,62.74,64.02,6.57
SR Watson,450.0,15747.0,17626.0,449.0,10325.0,1637.0,508.0,35.07,89.34,58.58,12.17
AN Cook,256.0,15737.0,30762.0,367.0,22304.0,1818.0,21.0,42.88,51.16,72.51,5.98
