striker,venue,format,innings,runs,balls_faced,dismissals,fours,sixes,average,strike_rate
A Adekunle,"Achimota Senior Secondary School A Field, Accra",T20I,2,2,5,0,0,0,2.0,40.0
A Adekunle,Entebbe Cricket Oval,T20I,1,1,7,1,0,0,1.0,14.29
A Adekunle,"Gahanga B Ground, Rwanda",T20I,8,23,32,5,2,0,4.6,71.88
A Adekunle,"Gahanga International Cricket Stadium, Rwanda",T20I,5,87,121,4,8,0,21.75,71.9
A Adekunle,"Namibia Cricket Ground, Windhoek",T20I,1,1,5,1,0,0,1.0,20.0
A Adekunle,"Tafawa Balewa Square Cricket Oval, Lagos",T20I,2,5,11,2,0,0,2.5,45.45
A Ahmadhel,"King George V Sports Ground, Castel",T20I,1,2,6,2,0,0,1.0,33.33
A Ahmadhel,Moara Vlasiei Cricket Ground,T20I,1,2,7,1,0,0,2.0,28.57
A Ahmadhel,"Moara Vlasiei Cricket Ground, Ilfov County",T20I,2,4,11,2,1,0,2.0,36.36
A Aikenhead,Bayer Uerdingen Cricket Ground,T20I,3,34,48,3,1,0,11.33,70.83
A Aikenhead,Europa Sports Complex,T20I,2,37,41,2,3,0,18.5,90.24
A Aikenhead,"FB Fields, St Clement",T20I,2,13,13,2,1,0,6.5,100.0
A Aikenhead,"Grainville, St Saviour",T20I,2,25,21,2,4,0,12.5,119.05
A Aikenhead,"Grainville, St Saviour, Jersey",T20I,1,0,3,1,0,0,0.0,0.0
A Aikenhead,"New Farnley CC, Leeds",T20I,1,8,10,1,1,0,8.0,80.0
A Aikenhead,Roma Cricket Ground,T20I,3,41,44,2,5,0,20.5,93.18
A Aikenhead,"Simar Cricket Ground, Rome",T20I,2,69,69,0,9,0,69.0,100.0
A Aikenhead,"Sportpark Maarschalkerweerd, Utrecht",T20I,1,0,2,1,0,0,0.0,0.0
A Aitken,VRA Ground,T20I,1,7,18,0,0,0,7.0,38.89
A Aitken-Drummond,"Civil Service Cricket Club, Stormont, Belfast",T20I,4,21,30,4,1,1,5.25,70.0
A Aitken-Drummond,"Gaddafi Stadium, Lahore",ODI,1,1,4,1,0,0,1.0,25.0
A Aitken-Drummond,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",T20I,2,12,27,2,2,0,6.0,44.44
A Aitken-Drummond,"Kinrara Academy Oval, Kuala Lumpur",T20I,4,71,65,3,7,1,23.67,109.23
A Aitken-Drummond,La Manga Club Top Ground,T20I,2,11,18,1,0,0,11.0,61.11
