striker,year,format,runs,balls_faced,dismissals,matches,fours,sixes,average,strike_rate
A Adekunle,2023,T20I,1.0,7.0,1.0,1.0,0.0,0.0,1.0,14.29
A Adekunle,2024,T20I,6.0,15.0,2.0,5.0,0.0,0.0,3.0,40.0
A Adekunle,2025,T20I,12.0,20.0,2.0,4.0,0.0,0.0,6.0,60.0
A Adekunle,2026,T20I,100.0,139.0,8.0,9.0,10.0,0.0,12.5,71.94
A Ahmadhel,2020,T20I,2.0,7.0,1.0,1.0,0.0,0.0,2.0,28.57
A Ahmadhel,2021,T20I,4.0,11.0,2.0,2.0,1.0,0.0,2.0,36.36
A Ahmadhel,2024,T20I,2.0,6.0,2.0,1.0,0.0,0.0,1.0,33.33
A Aikenhead,2023,T20I,25.0,42.0,5.0,5.0,1.0,0.0,5.0,59.52
A Aikenhead,2024,T20I,83.0,95.0,5.0,6.0,6.0,0.0,16.6,87.37
A Aikenhead,2025,T20I,118.0,123.0,3.0,6.0,15.0,0.0,39.33,95.93
A Aikenhead,2026,T20I,97.0,77.0,2.0,2.0,14.0,0.0,48.5,125.97
A Aitken,2018,T20I,7.0,18.0,0.0,1.0,0.0,0.0,7.0,38.89
A Aitken-Drummond,2021,T20I,32.0,48.0,5.0,6.0,1.0,1.0,6.4,66.67
A Aitken-Drummond,2022,T20I,108.0,115.0,7.0,8.0,12.0,1.0,15.43,93.91
A Aitken-Drummond,2024,ODI,33.0,46.0,3.0,4.0,6.0,0.0,11.0,71.74
A Aitken-Drummond,2024,T20I,22.0,38.0,2.0,2.0,2.0,0.0,11.0,57.89
A Aitken-Drummond,2025,ODI,45.0,65.0,4.0,4.0,7.0,0.0,11.25,69.23
A Akhigbe,2024,T20I,72.0,91.0,4.0,5.0,11.0,1.0,18.0,79.12
A Akhigbe,2025,T20I,9.0,28.0,6.0,6.0,0.0,0.0,1.5,32.14
A Akhigbe,2026,T20I,5.0,16.0,2.0,2.0,0.0,0.0,2.5,31.25
A Akurut,2024,T20I,4.0,21.0,4.0,5.0,0.0,0.0,1.0,19.05
A Alexander,2025,T20I,50.0,33.0,5.0,8.0,2.0,4.0,10.0,151.52
A Alfonso,2024,T20I,13.0,36.0,2.0,4.0,1.0,0.0,6.5,36.11
A Alfonso,2025,T20I,5.0,7.0,2.0,3.0,0.0,0.0,2.5,71.43
A Alfonso,2026,T20I,13.0,28.0,5.0,5.0,1.0,0.0,2.6,46.43
A Amado,2022,T20I,19.0,28.0,3.0,2.0,2.0,0.0,6.33,67.86
A Amburose,2026,T20I,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0
A Amuzu,2026,T20I,7.0,23.0,1.0,1.0,1.0,0.0,7.0,30.43
A Andrews,2022,T20I,4.0,6.0,1.0,1.0,1.0,0.0,4.0,66.67
A Andriani,2023,T20I,36.0,22.0,0.0,2.0,6.0,0.0,36.0,163.64
A Andriani,2024,T20I,2.0,11.0,3.0,3.0,0.0,0.0,0.67,18.18
A Argyropoulou,2023,T20I,28.0,53.0,4.0,3.0,1.0,0.0,7.0,52.83
A Argyropoulou,2024,T20I,96.0,122.0,7.0,8.0,9.0,0.0,13.71,78.69
A Argyropoulou,2025,T20I,104.0,145.0,8.0,8.0,12.0,0.0,13.0,71.72
A Argyropoulou,2026,T20I,89.0,155.0,9.0,9.0,5.0,1.0,9.89,57.42
A Ashish Reddy,2012,IPL,35.0,29.0,4.0,5.0,3.0,1.0,8.75,120.69
A Ashish Reddy,2013,IPL,125.0,89.0,6.0,10.0,8.0,5.0,20.83,140.45
A Ashish Reddy,2015,IPL,73.0,46.0,3.0,5.0,3.0,5.0,24.33,158.7
A Ashish Reddy,2016,IPL,47.0,29.0,2.0,3.0,2.0,4.0,23.5,162.07
A Ashok,2023,ODI,10.0,12.0,1.0,1.0,2.0,0.0,10.0,83.33
A Ashokan,2020,T20I,23.0,30.0,1.0,1.0,2.0,0.0,23.0,76.67
A Ashokan,2021,T20I,145.0,130.0,4.0,6.0,8.0,5.0,36.25,111.54
A Ashokan,2022,T20I,368.0,293.0,12.0,13.0,16.0,17.0,30.67,125.6
A Ashokan,2023,T20I,36.0,44.0,2.0,2.0,2.0,0.0,18.0,81.82
A Athanaze,2023,ODI,240.0,252.0,7.0,7.0,31.0,6.0,34.29,95.24
A Athanaze,2023,Test,112.0,258.0,3.0,2.0,14.0,1.0,37.33,43.41
A Athanaze,2024,ODI,66.0,116.0,6.0,6.0,6.0,0.0,11.0,56.9
A Athanaze,2024,T20I,75.0,61.0,3.0,4.0,4.0,5.0,25.0,122.95
A Athanaze,2024,Test,448.0,796.0,18.0,9.0,50.0,2.0,24.89,56.28
A Athanaze,2025,ODI,99.0,157.0,4.0,4.0,9.0,3.0,24.75,63.06
A Athanaze,2025,T20I,251.0,191.0,10.0,10.0,27.0,12.0,25.1,131.41
A Athanaze,2025,Test,221.0,438.0,12.0,6.0,27.0,1.0,18.42,50.46
A Augastin,2025,T20I,170.0,160.0,9.0,9.0,20.0,4.0,18.89,106.25
A Augastin,2026,T20I,145.0,102.0,2.0,4.0,15.0,4.0,72.5,142.16
A Awasthi,2025,T20I,11.0,50.0,4.0,5.0,0.0,0.0,2.75,22.0
A Badoni,2022,IPL,161.0,130.0,9.0,11.0,11.0,7.0,17.89,123.85
A Badoni,2023,IPL,238.0,172.0,9.0,12.0,13.0,12.0,26.44,138.37
A Badoni,2024,IPL,235.0,171.0,8.0,12.0,22.0,5.0,29.38,137.43
A Badoni,2025,IPL,329.0,222.0,10.0,11.0,27.0,14.0,32.9,148.2
A Badoni,2026,IPL,215.0,141.0,10.0,10.0,23.0,9.0,21.5,152.48
A Bagai,2003,ODI,56.0,111.0,6.0,6.0,5.0,0.0,9.33,50.45
A Bagai,2006,ODI,98.0,173.0,2.0,3.0,7.0,0.0,49.0,56.65
A Bagai,2007,ODI,55.0,84.0,4.0,4.0,6.0,0.0,13.75,65.48
A Bagai,2008,ODI,5.0,17.0,1.0,1.0,1.0,0.0,5.0,29.41
A Bagai,2009,ODI,87.0,122.0,1.0,1.0,8.0,1.0,87.0,71.31
