bowler,format,recent_wkts,recent_econ,recent_avg,career_econ,career_avg,form_score,form_label
A Adekunle,T20I,12,5.195,16.68,4.85,14.79,91.0,Good
A Akhigbe,T20I,10,5.895,20.05,4.88,16.55,82.7,Average
A Akurut,T20I,5,6.36,17.6,4.96,13.12,76.3,Average
A Alexander,T20I,4,6.86,12.0,6.17,10.29,87.8,Good
A Alfonso,T20I,1,3.75,15.0,3.75,15.0,100.0,Good
A Ashok,ODI,1,9.17,55.0,7.42,60.0,95.0,Good
A Athanaze,ODI,4,2.97,12.75,3.28,14.0,110.1,On Fire
A Athanaze,T20I,0,13.71,16.0,13.71,16.0,100.0,Good
A Augastin,T20I,9,5.105,12.2,5.34,12.67,104.2,Good
A Awasthi,T20I,1,18.25,73.0,18.25,73.0,100.0,Good
A Badoni,IPL,2,10.9,10.25,9.22,15.75,119.1,On Fire
A Beresford-Peirse,T20I,2,8.88,75.5,8.88,75.5,100.0,Good
A Brown-Carrera,T20I,2,6.1,30.5,4.6,11.2,56.1,Poor
A Bushell,T20I,0,7.0,7.0,7.0,7.0,100.0,Good
A Busing-Volschenk,T20I,4,7.71,13.5,7.71,13.5,100.0,Good
A Canning,ODI,5,5.51,61.4,4.41,39.06,71.8,Average
A Canning,T20I,20,5.6899999999999995,15.545,5.4,21.54,116.7,On Fire
A Capsey,ODI,12,4.94,20.08,4.84,24.47,109.9,Good
A Capsey,T20I,1,9.57,67.0,7.27,31.5,61.5,Average
A Capsey,WPL,1,12.5,25.0,7.14,18.75,66.1,Average
A Chandel,T20I,10,5.26,36.9,4.87,16.72,68.9,Average
A Chenthamara,T20I,17,7.16,13.34,7.07,12.82,97.4,Good
A Cheung,T20I,1,7.57,53.0,7.57,53.0,100.0,Good
A Dalzell,ODI,4,7.32,44.125,5.9,44.5,90.7,Good
A Dalzell,T20I,10,7.3,29.585,6.96,27.39,94.0,Good
A Davidson-Soler,T20I,2,5.48,47.0,5.27,30.5,80.5,Average
A Dcosta,T20I,30,4.705,12.515,5.21,13.53,109.4,Good
A Dercksen,ODI,9,6.77,35.625,6.35,28.67,87.1,Good
A Dercksen,T20I,3,8.415,34.165,8.09,35.6,100.2,Good
A Desai,T20I,6,6.21,9.83,6.96,13.33,123.8,On Fire
A Dhabe,T20I,25,6.165,18.75,6.21,19.12,101.4,Good
A Dhar,T20I,0,10.0,30.0,10.0,30.0,100.0,Good
A Dirannehelage,T20I,16,2.59,4.475,2.92,5.47,117.5,On Fire
A Donovan,T20I,3,6.53,37.0,6.76,47.33,115.7,On Fire
A Dowling,T20I,4,11.47,21.5,11.47,21.5,100.0,Good
A Dutt,ODI,23,4.07,20.34,4.65,28.57,127.4,On Fire
A Dutt,T20I,15,6.425,19.5,6.9,21.77,109.5,Good
A Emch,T20I,5,4.14,5.8,5.04,8.4,133.3,On Fire
A Fillie,T20I,4,6.56,26.25,5.51,11.19,63.3,Average
A Fujikawa,T20I,15,5.515,17.8,5.49,16.76,96.9,Good
A Galan,T20I,13,3.465,10.344999999999999,4.12,10.87,112.0,On Fire
A Gardner,ODI,30,4.640000000000001,24.2,4.29,20.71,89.0,Good
A Gardner,T20I,7,6.8149999999999995,21.715,6.66,18.72,92.0,Good
A Gardner,Test,9,2.18,13.585,2.53,18.15,124.8,On Fire
A Gardner,WPL,15,9.04,32.97,8.74,26.6,88.7,Good
A Gbla,T20I,17,6.245,17.45,6.5,14.0,92.2,Good
A Gianani,T20I,0,4.5,9.0,4.5,9.0,100.0,Good
A Goodridge,CPL,0,11.5,23.0,11.5,23.0,100.0,Good
A Gulati,T20I,5,9.765,29.915,9.74,27.6,96.0,Good
A Gupta,T20I,3,10.485,21.335,8.38,34.0,119.6,On Fire
A Gurung,T20I,14,5.075,15.790000000000001,3.85,11.66,74.9,Average
A Hartley,T20I,1,5.2,26.0,6.3,26.25,111.1,On Fire
A Hlubi,ODI,8,6.035,46.125,6.11,48.7,103.4,Good
A Hlubi,T20I,4,9.27,30.5,8.8,27.22,92.1,Good
A Husain,T20I,8,7.055,29.43,6.63,18.44,78.3,Average
A Ikuzwe,T20I,32,4.915,14.610000000000001,4.79,11.73,88.9,Good
A Ilahi,T20I,8,4.63,9.25,4.62,9.25,99.9,Good
A Johnson,T20I,0,10.67,32.0,7.2,36.0,90.0,Good
A Kalasi,T20I,1,7.5,15.0,4.74,14.75,80.8,Average
A Kamboj,IPL,32,9.165000000000001,21.79,9.83,24.0,108.7,Good
A Kamboj,Test,1,4.77,89.0,4.77,89.0,100.0,Good
A Kanukuntla,T20I,15,5.720000000000001,20.92,5.78,19.27,96.6,Good
A Kanwal,T20I,1,6.92,15.0,6.92,15.0,100.0,Good
A Kato-Stafford,T20I,13,4.145,10.45,4.16,10.23,99.1,Good
A Kayuni,T20I,0,12.0,12.0,12.0,12.0,100.0,Good
A Kessar,T20I,6,5.7,9.67,5.7,9.67,100.0,Good
A Khaka,ODI,21,5.26,22.78,4.31,22.77,90.9,Good
A Khaka,T20I,31,7.725,23.73,7.01,23.49,94.9,Good
A Khasanov,T20I,2,10.26,53.0,10.26,53.0,100.0,Good
A Khullar,T20I,2,6.77,44.0,6.77,44.0,100.0,Good
A King,ODI,40,4.26,16.54,4.28,17.57,103.3,Good
A King,T20I,13,6.6850000000000005,15.665,6.37,17.03,102.0,Good
A King,Test,11,2.8200000000000003,16.945,2.72,24.12,119.4,On Fire
A King,WPL,0,12.67,38.0,12.67,38.0,100.0,Good
