bowler,striker,format,balls_bowled,runs_given,wickets,dot_balls,fours_given,sixes_given,economy,strike_rate,dot_pct
A Adekunle,A Lumbe,T20I,17,4.0,1,15,0,0,1.41,17.0,88.24
A Adekunle,C Uwase,T20I,33,44.0,0,15,2,3,8.0,33.0,45.45
A Adekunle,H Ishimwe,T20I,12,17.0,0,7,2,1,8.5,12.0,58.33
A Adekunle,I Nakisuuyi,T20I,24,14.0,1,14,1,0,3.5,24.0,58.33
A Adekunle,JAN Ngono,T20I,17,2.0,0,15,0,0,0.71,17.0,88.24
A Adekunle,M Turay,T20I,10,3.0,1,8,0,0,1.8,10.0,80.0
A Adekunle,M Uwase,T20I,23,11.0,0,14,0,0,2.87,23.0,60.87
A Adekunle,MD Bimenyimana,T20I,33,26.0,1,19,2,0,4.73,33.0,57.58
A Adekunle,MR Machado,T20I,16,25.0,0,7,2,1,9.38,16.0,43.75
A Adekunle,P Alako,T20I,14,9.0,1,8,1,0,3.86,14.0,57.14
A Adekunle,S Kananji,T20I,28,25.0,0,17,4,0,5.36,28.0,60.71
A Adekunle,Yasmeen Khan,T20I,11,11.0,1,3,0,0,6.0,11.0,27.27
A Aitken,N Koncharoenkai,T20I,10,9.0,0,2,0,0,5.4,10.0,20.0
A Aitken-Drummond,AC Jayangani,T20I,10,16.0,0,5,2,1,9.6,10.0,50.0
A Akhigbe,A Ikuzwe,T20I,14,30.0,0,4,5,1,12.86,14.0,28.57
A Akhigbe,E Kamara,T20I,13,10.0,0,8,1,0,4.62,13.0,61.54
A Akhigbe,E Wachira,T20I,10,5.0,0,5,0,0,3.0,10.0,50.0
A Akhigbe,H Ishimwe,T20I,10,9.0,1,7,2,0,5.4,10.0,70.0
A Akhigbe,J Mbabazi,T20I,10,10.0,0,6,2,0,6.0,10.0,60.0
A Akhigbe,L Mophakedi,T20I,10,12.0,0,5,2,0,7.2,10.0,50.0
A Akhigbe,ME Bessala,T20I,20,1.0,0,20,0,0,0.3,20.0,100.0
A Akhigbe,PE Kulume,T20I,11,3.0,1,9,0,0,1.64,11.0,81.82
A Akurut,JAN Ngono,T20I,10,2.0,0,8,0,0,1.2,10.0,80.0
A Alexander,Shah Abrar Hussain,T20I,21,22.0,1,12,1,1,6.29,21.0,57.14
A Alfonso,T Shadrack,T20I,11,2.0,1,10,0,0,1.09,11.0,90.91
A Andriani,HMD Rasangika,T20I,12,14.0,1,8,3,0,7.0,12.0,66.67
A Andriani,K Ota,T20I,10,8.0,0,6,1,0,4.8,10.0,60.0
A Andriani,Mahirah Izzati Ismail,T20I,10,2.0,0,8,0,0,1.2,10.0,80.0
A Andriani,Mas Elysa,T20I,13,4.0,0,9,0,0,1.85,13.0,69.23
A Ashish Reddy,AB de Villiers,IPL,18,46.0,0,3,3,4,15.33,18.0,16.67
A Ashish Reddy,DA Warner,IPL,16,50.0,0,4,6,4,18.75,16.0,25.0
A Ashish Reddy,F du Plessis,IPL,11,11.0,0,2,0,0,6.0,11.0,18.18
A Ashish Reddy,G Gambhir,IPL,10,17.0,1,2,3,0,10.2,10.0,20.0
A Ashish Reddy,M Manhas,IPL,10,8.0,0,2,0,0,4.8,10.0,20.0
A Ashish Reddy,MS Dhoni,IPL,22,40.0,2,5,4,1,10.91,11.0,22.73
A Ashish Reddy,RG Sharma,IPL,10,10.0,0,6,2,0,6.0,10.0,60.0
A Ashish Reddy,RV Uthappa,IPL,28,42.0,5,10,2,2,9.0,5.6,35.71
A Ashish Reddy,SPD Smith,IPL,24,44.0,0,2,0,4,11.0,24.0,8.33
A Ashish Reddy,TM Dilshan,IPL,13,17.0,0,8,1,1,7.85,13.0,61.54
A Ashish Reddy,V Kohli,IPL,26,32.0,2,11,4,1,7.38,13.0,42.31
A Ashok,Mehedi Hasan Miraz,ODI,11,10.0,1,4,0,0,5.45,11.0,36.36
A Ashok,Mushfiqur Rahim,ODI,18,14.0,0,10,2,0,4.67,18.0,55.56
A Ashok,Soumya Sarkar,ODI,29,38.0,0,8,5,0,7.86,29.0,27.59
A Ashok,V Kohli,ODI,18,22.0,0,6,3,0,7.33,18.0,33.33
A Ashokan,A Kheterpal,T20I,13,7.0,0,8,0,0,3.23,13.0,61.54
A Ashokan,A Reyes,T20I,13,22.0,1,5,4,0,10.15,13.0,38.46
A Ashokan,Abhijeet Ahuja,T20I,11,13.0,1,5,2,0,7.09,11.0,45.45
A Ashokan,Abhishek Ahuja,T20I,19,24.0,0,10,2,1,7.58,19.0,52.63
A Ashokan,Ali Farasat,T20I,10,3.0,1,7,0,0,1.8,10.0,70.0
A Ashokan,Aqib Iqbal,T20I,22,26.0,0,9,0,1,7.09,22.0,40.91
A Ashokan,Faheem Nazir,T20I,13,26.0,0,1,2,1,12.0,13.0,7.69
A Ashokan,G Mckeon,T20I,11,15.0,0,1,1,0,8.18,11.0,9.09
A Ashokan,HA Jackson,T20I,13,11.0,0,7,0,0,5.08,13.0,53.85
A Ashokan,HV Mandhyan,T20I,14,21.0,0,8,3,1,9.0,14.0,57.14
