bowler,match_id,start_date,overs_bowled,acwr,risk_flag
A Adekunle,1435634,2024-06-04,4.0,4.0,High injury risk
A Adekunle,1435644,2024-06-07,4.166666666666667,3.12,High injury risk
A Adekunle,1435648,2024-06-08,1.0,2.33,High injury risk
A Adekunle,1539501,2026-06-14,4.0,4.0,High injury risk
A Adekunle,1539503,2026-06-15,1.0,4.0,High injury risk
A Adekunle,1539509,2026-06-19,4.0,1.89,High injury risk
A Adekunle,1539510,2026-06-20,4.0,2.26,High injury risk
A Akhigbe,1435632,2024-06-03,3.0,4.0,High injury risk
A Akhigbe,1435634,2024-06-04,1.0,4.0,High injury risk
A Akhigbe,1487715,2025-06-08,3.8333333333333335,4.0,High injury risk
A Akhigbe,1487721,2025-06-11,4.0,4.0,High injury risk
A Andriani,1419931,2024-02-14,4.166666666666667,4.0,High injury risk
A Ashish Reddy,548352,2012-05-04,2.1666666666666665,2.61,High injury risk
A Ashish Reddy,548356,2012-05-06,4.0,2.41,High injury risk
A Ashish Reddy,548359,2012-05-08,4.0,2.09,High injury risk
A Ashish Reddy,548329,2012-05-10,2.0,2.26,High injury risk
A Ashish Reddy,548373,2012-05-18,2.0,0.34,Undertrained
A Ashish Reddy,548376,2012-05-20,4.0,0.87,Safe zone
A Ashish Reddy,598013,2013-04-14,2.0,2.0,High injury risk
A Ashish Reddy,598030,2013-04-25,0.6666666666666666,0.4,Undertrained
A Ashish Reddy,829773,2015-05-02,2.0,1.33,Caution
A Ashokan,1310182,2022-05-14,4.0,4.0,High injury risk
A Ashokan,1310186,2022-05-15,2.0,4.0,High injury risk
A Ashokan,1321284,2022-07-24,4.0,1.0,Safe zone
A Ashokan,1321298,2022-07-30,4.0,1.6,High injury risk
A Ashokan,1321301,2022-07-31,2.0,1.09,Safe zone
A Augastin,1502759,2025-10-04,3.0,4.0,High injury risk
A Beresford-Peirse,1496831,2025-08-08,4.0,4.0,High injury risk
A Beresford-Peirse,1514476,2025-12-07,4.0,4.0,High injury risk
A Beresford-Peirse,1514477,2025-12-07,4.166666666666667,4.0,High injury risk
A Bester,1378017,2023-06-01,4.0,4.0,High injury risk
A Bester,1378020,2023-06-02,3.0,4.0,High injury risk
A Bester,1395036,2023-09-12,3.0,4.0,High injury risk
A Bierwisch,1229208,2020-08-15,4.0,4.0,High injury risk
A Bishnoi,1268191,2021-07-10,3.1666666666666665,4.0,High injury risk
A Bishnoi,1268192,2021-07-10,3.0,4.0,High injury risk
