bowler,format,innings_bowled,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate,five_wkts,four_wkts,best_wkts,best_bowling,matches
JM Anderson,Test,181,39052,18008.0,705,30757,61,52,6508.7,2.77,25.54,78.76,55.39,67.0,27.0,11.0,11/71.0,181
SCJ Broad,Test,166,33811,16719.0,616,26158,85,115,5635.2,2.97,27.14,77.37,54.89,58.0,20.0,11.0,11/120.0,167
NM Lyon,Test,142,35121,17249.0,592,25945,1,3,5853.5,2.95,29.14,73.87,59.33,53.0,25.0,14.0,14/154.0,143
R Ashwin,Test,105,27137,12832.0,553,20284,3,10,4522.8,2.84,23.2,74.75,49.07,63.0,12.0,15.0,15/140.0,105
MA Starc,Test,107,20391,11626.0,461,15075,67,78,3398.5,3.42,25.22,73.93,44.23,45.0,18.0,11.0,11/94.0,107
DW Steyn,Test,90,18104,9661.0,439,13782,68,97,3017.3,3.2,22.01,76.13,41.24,49.0,12.0,11.0,11/60.0,90
HMRKB Herath,Test,82,23557,10933.0,416,17317,6,9,3926.2,2.78,26.28,73.51,56.63,41.0,10.0,14.0,14/184.0,82
TG Southee,Test,107,23507,11832.0,400,18141,50,17,3917.8,3.02,29.58,77.17,58.77,38.0,16.0,10.0,10/108.0,107
RA Jadeja,Test,89,20886,8973.0,358,16010,1,107,3481.0,2.58,25.06,76.65,58.34,35.0,22.0,11.0,11/154.0,89
K Rabada,Test,72,13639,7493.0,351,10292,46,203,2273.2,3.3,21.35,75.46,38.86,40.0,8.0,13.0,13/141.0,73
SL Malinga,ODI,208,10408,9251.0,343,5748,395,72,1734.7,5.33,26.97,55.23,30.34,8.0,13.0,7.0,7/31.0,213
PJ Cummins,Test,74,14741,7056.0,328,11325,52,68,2456.8,2.87,21.51,76.83,44.94,30.0,16.0,10.0,10/62.0,74
TA Boult,Test,78,17436,8717.0,323,13516,55,19,2906.0,3.0,26.99,77.52,53.98,33.0,13.0,10.0,10/80.0,78
MG Johnson,Test,73,16089,8892.0,320,12035,90,87,2681.5,3.32,27.79,74.8,50.28,31.0,11.0,12.0,12/116.0,73
M Morkel,Test,86,16755,8550.0,317,12905,81,256,2792.5,3.06,26.97,77.02,52.85,26.0,18.0,9.0,9/110.0,86
I Sharma,Test,104,19402,10033.0,312,14548,59,314,3233.7,3.1,32.16,74.98,62.19,24.0,10.0,10.0,10/78.0,103
JR Hazlewood,Test,78,15761,7272.0,309,12388,13,44,2626.8,2.77,23.53,78.6,51.01,35.0,8.0,9.0,9/79.0,78
KAJ Roach,Test,89,15917,8154.0,309,12147,48,214,2652.8,3.07,26.39,76.31,51.51,32.0,9.0,10.0,10/145.0,90
B Lee,ODI,151,7934,6139.0,281,4850,228,207,1322.3,4.64,21.85,61.13,28.23,9.0,10.0,6.0,6/27.0,154
Shakib Al Hasan,ODI,205,10636,8139.0,279,5692,118,4,1772.7,4.59,29.17,53.52,38.12,3.0,10.0,5.0,5/29.0,211
Taijul Islam,Test,60,15721,8022.0,272,11363,0,11,2620.2,3.06,29.49,72.28,57.8,26.0,10.0,11.0,11/102.0,60
JM Anderson,ODI,177,8853,7321.0,268,5372,313,10,1475.5,4.96,27.32,60.68,33.03,2.0,10.0,5.0,5/20.0,179
N Wagner,Test,64,13810,7169.0,265,10432,50,85,2301.7,3.11,27.05,75.54,52.11,24.0,7.0,9.0,9/73.0,64
GP Swann,Test,60,15349,7642.0,264,11339,1,0,2558.2,2.99,28.95,73.87,58.14,25.0,9.0,10.0,10/74.0,60
Shahid Afridi,ODI,200,10247,7950.0,259,5121,186,19,1707.8,4.66,30.69,49.98,39.56,7.0,7.0,7.0,7/10.0,207
BA Stokes,Test,108,14258,7808.0,256,10470,69,173,2376.3,3.29,30.5,73.43,55.7,19.0,10.0,8.0,8/160.0,122
MA Starc,ODI,126,6469,5661.0,253,3817,297,17,1078.2,5.25,22.38,59.0,25.57,9.0,12.0,6.0,6/24.0,123
Yasir Shah,Test,48,14262,7657.0,252,10131,0,7,2377.0,3.22,30.38,71.03,56.6,26.0,6.0,15.0,15/184.0,48
M Muralitharan,Test,38,11986,5552.0,252,8927,0,44,1997.7,2.78,22.03,74.48,47.56,29.0,1.0,13.0,13/225.0,38
RA Jadeja,ODI,199,10257,8364.0,244,5134,73,21,1709.5,4.89,34.28,50.05,42.04,2.0,9.0,5.0,5/33.0,207
AU Rashid,ODI,153,7901,7394.0,244,3566,108,4,1316.8,5.61,30.3,45.13,32.38,3.0,9.0,5.0,5/26.0,158
B Kumar,IPL,206,4613,5913.0,243,2004,156,13,768.8,7.69,24.33,43.44,18.98,2.0,6.0,6.0,6/30.0,206
MG Johnson,ODI,144,7215,5790.0,243,4307,322,28,1202.5,4.81,23.83,59.7,29.69,3.0,11.0,6.0,6/31.0,147
YS Chahal,IPL,184,4050,5417.0,242,1376,117,13,675.0,8.03,22.38,33.98,16.74,1.0,8.0,5.0,5/36.0,189
Harbhajan Singh,Test,61,17408,8414.0,240,12573,6,9,2901.3,2.9,35.06,72.23,72.53,23.0,9.0,10.0,10/141.0,61
JJ Bumrah,Test,52,10146,4631.0,239,7912,21,115,1691.0,2.74,19.38,77.98,42.45,26.0,7.0,10.0,10/156.0,51
Shakib Al Hasan,Test,67,14605,7363.0,236,10550,4,12,2434.2,3.02,31.2,72.24,61.89,27.0,9.0,11.0,11/153.0,68
M Ntini,Test,57,11897,6545.0,234,8988,24,61,1982.8,3.3,27.97,75.55,50.84,25.0,6.0,11.0,11/177.0,57
Mohammed Shami,Test,64,11547,6346.0,233,8663,39,32,1924.5,3.3,27.24,75.02,49.56,20.0,11.0,10.0,10/118.0,63
TG Southee,ODI,150,7700,7146.0,230,4312,217,10,1283.3,5.57,31.07,56.0,33.48,3.0,7.0,7.0,7/30.0,152
