bowler,opponent,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Adekunle,Brazil,T20I,4,48,57.0,3,23,7.12,19.0,47.92
A Adekunle,Cameroon,T20I,1,24,3.0,1,21,0.75,3.0,87.5
A Adekunle,Kenya,T20I,1,12,18.0,0,4,9.0,18.0,33.33
A Adekunle,Malawi,T20I,3,73,52.0,3,48,4.27,17.33,65.75
A Adekunle,Namibia,T20I,2,48,37.0,3,24,4.62,12.33,50.0
A Adekunle,Rwanda,T20I,7,132,124.0,5,72,5.64,24.8,54.55
A Adekunle,Sierra Leone,T20I,1,18,10.0,1,12,3.33,10.0,66.67
A Adekunle,Uganda,T20I,3,66,40.0,7,37,3.64,5.71,56.06
A Adekunle,Zimbabwe,T20I,1,18,14.0,1,9,4.67,14.0,50.0
A Ahmadhel,Malta,T20I,1,6,15.0,0,1,15.0,15.0,16.67
A Ahmadhel,Romania,T20I,1,4,6.0,1,3,9.0,6.0,75.0
A Aitken,Bangladesh,T20I,1,12,13.0,0,3,6.5,13.0,25.0
A Aitken,Ireland,T20I,1,6,8.0,0,2,8.0,8.0,33.33
A Aitken,Thailand,T20I,1,24,19.0,0,7,4.75,19.0,29.17
A Aitken-Drummond,France,T20I,1,16,3.0,3,13,1.12,1.0,81.25
A Aitken-Drummond,Germany,T20I,1,12,2.0,0,10,1.0,2.0,83.33
A Aitken-Drummond,Netherlands,T20I,1,12,9.0,1,6,4.5,9.0,50.0
A Aitken-Drummond,Papua New Guinea,T20I,1,7,8.0,0,3,6.86,8.0,42.86
A Aitken-Drummond,Sri Lanka,T20I,1,12,18.0,0,5,9.0,18.0,41.67
A Aitken-Drummond,Thailand,T20I,1,24,23.0,1,9,5.75,23.0,37.5
A Akhigbe,Botswana,T20I,1,18,16.0,0,11,5.33,16.0,61.11
A Akhigbe,Cameroon,T20I,2,30,8.0,2,28,1.6,4.0,93.33
A Akhigbe,Kenya,T20I,1,24,17.0,0,11,4.25,17.0,45.83
A Akhigbe,Namibia,T20I,1,5,11.0,0,2,13.2,11.0,40.0
A Akhigbe,Rwanda,T20I,4,58,68.0,3,32,7.03,22.67,55.17
A Akhigbe,Sierra Leone,T20I,1,23,14.0,1,15,3.65,14.0,65.22
A Akhigbe,Tanzania,T20I,1,24,17.0,2,14,4.25,8.5,58.33
A Akhigbe,Uganda,T20I,2,42,31.0,3,26,4.43,10.33,61.9
A Akurut,Botswana,T20I,1,18,11.0,0,12,3.67,11.0,66.67
A Akurut,Cameroon,T20I,1,24,6.0,2,19,1.5,3.0,79.17
A Akurut,Malawi,T20I,1,2,0.0,1,2,0.0,0.0,100.0
A Alexander,Bhutan,T20I,1,22,19.0,3,12,5.18,6.33,54.55
A Alexander,Cambodia,T20I,3,48,50.0,3,22,6.25,16.67,45.83
A Alexander,Myanmar,T20I,2,18,18.0,2,11,6.0,9.0,61.11
A Alexander,Philippines,T20I,1,6,8.0,0,3,8.0,8.0,50.0
A Alexander,Timor-Leste,T20I,1,6,9.0,1,4,9.0,9.0,66.67
A Alfonso,Botswana,T20I,1,24,15.0,1,16,3.75,15.0,66.67
A Amado,Malta,T20I,1,6,8.0,1,6,8.0,8.0,100.0
A Amado,Spain,T20I,1,6,12.0,0,2,12.0,12.0,33.33
A Andrews,Bulgaria,T20I,1,18,12.0,2,13,4.0,6.0,72.22
A Andrews,Gibraltar,T20I,1,24,21.0,3,10,5.25,7.0,41.67
A Andrews,Malta,T20I,1,18,28.0,0,6,9.33,28.0,33.33
A Andriani,Bahrain,T20I,1,18,17.0,2,12,5.67,8.5,66.67
A Andriani,Cook Islands,T20I,1,24,15.0,4,13,3.75,3.75,54.17
A Andriani,Japan,T20I,1,24,14.0,1,16,3.5,14.0,66.67
A Andriani,Malaysia,T20I,1,24,7.0,1,17,1.75,7.0,70.83
A Andriani,Qatar,T20I,1,18,12.0,1,11,4.0,12.0,61.11
A Andriani,Samoa,T20I,1,24,2.0,4,22,0.5,0.5,91.67
A Andriani,United Arab Emirates,T20I,1,25,25.0,2,11,6.0,12.5,44.0
A Ashish Reddy,Chennai Super Kings,IPL,3,29,50.0,3,6,10.34,16.67,20.69
A Ashish Reddy,Delhi Daredevils,IPL,2,24,44.0,1,7,11.0,44.0,29.17
A Ashish Reddy,Kings XI Punjab,IPL,1,24,39.0,2,8,9.75,19.5,33.33
A Ashish Reddy,Kolkata Knight Riders,IPL,2,24,29.0,2,8,7.25,14.5,33.33
A Ashish Reddy,Mumbai Indians,IPL,1,13,11.0,1,8,5.08,11.0,61.54
A Ashish Reddy,Pune Warriors,IPL,3,55,85.0,4,11,9.27,21.25,20.0
A Ashish Reddy,Rajasthan Royals,IPL,2,18,22.0,0,6,7.33,22.0,33.33
A Ashish Reddy,Royal Challengers Bangalore,IPL,6,77,116.0,6,29,9.04,19.33,37.66
A Ashok,Bangladesh,ODI,2,61,65.0,1,23,6.39,65.0,37.7
A Ashok,India,ODI,1,36,55.0,1,11,9.17,55.0,30.56
A Ashok,United Arab Emirates,T20I,1,24,28.0,2,9,7.0,14.0,37.5
A Ashokan,Austria,T20I,3,54,76.0,2,13,8.44,38.0,24.07
A Ashokan,Belgium,T20I,1,18,36.0,0,5,12.0,36.0,27.78
A Ashokan,Bulgaria,T20I,1,12,12.0,0,6,6.0,12.0,50.0
A Ashokan,France,T20I,1,24,26.0,0,8,6.5,26.0,33.33
A Ashokan,Gibraltar,T20I,1,24,33.0,2,12,8.25,16.5,50.0
A Ashokan,Hungary,T20I,5,96,98.0,6,53,6.12,16.33,55.21
