bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
R Ashwin,495,39434,25181.0,993,25614,313,21,6572.3,3.83,25.36,64.95,39.71
JM Anderson,377,48327,25881.0,993,36304,405,62,8054.5,3.21,26.06,75.12,48.67
MA Starc,367,29568,21241.0,906,20019,537,104,4928.0,4.31,23.44,67.7,32.64
SCJ Broad,345,41089,23679.0,888,30095,272,148,6848.2,3.46,26.67,73.24,46.27
TG Southee,433,35185,24457.0,862,24055,430,36,5864.2,4.17,28.37,68.37,40.82
DW Steyn,371,27861,18816.0,849,19270,392,129,4643.5,4.05,22.16,69.16,32.82
RA Jadeja,589,36031,24020.0,836,22570,171,129,6005.2,4.0,28.73,62.64,43.1
Shakib Al Hasan,514,30224,21408.0,789,18155,210,18,5037.3,4.25,27.13,60.07,38.31
TA Boult,379,27786,19731.0,781,18975,412,34,4631.0,4.26,25.26,68.29,35.58
DJ Bravo,553,19203,19165.0,773,9575,651,73,3200.5,5.99,24.79,49.86,24.84
K Rabada,350,22922,17650.0,769,15117,411,269,3820.3,4.62,22.95,65.95,29.81
SL Malinga,448,19328,17596.0,744,10554,645,269,3221.3,5.46,23.65,54.6,25.98
JJ Bumrah,386,20374,14712.0,726,13167,277,186,3395.7,4.33,20.26,64.63,28.06
MG Johnson,320,25655,17642.0,692,17428,528,130,4275.8,4.13,25.49,67.93,37.07
NM Lyon,206,37252,19384.0,663,26849,26,3,6208.7,3.12,29.24,72.07,56.19
JO Holder,463,23050,18460.0,661,14322,440,127,3841.7,4.81,27.93,62.13,34.87
M Morkel,323,25316,16829.0,658,17595,388,326,4219.3,3.99,25.58,69.5,38.47
PJ Cummins,310,22411,15658.0,646,15039,339,86,3735.2,4.19,24.24,67.11,34.69
Mohammed Shami,325,20190,16156.0,637,13092,326,46,3365.0,4.8,25.36,64.84,31.7
JR Hazlewood,296,23243,14802.0,628,16419,178,60,3873.8,3.82,23.57,70.64,37.01
Harbhajan Singh,392,29374,18887.0,619,18467,243,20,4895.7,3.86,30.51,62.87,47.45
Imran Tahir,350,14583,12545.0,583,7609,174,35,2430.5,5.16,21.52,52.18,25.01
SP Narine,468,14463,12969.0,580,7443,222,42,2410.5,5.38,22.36,51.46,24.94
Z Khan,303,22070,15590.0,575,14652,362,258,3678.3,4.24,27.11,66.39,38.38
M Muralitharan,264,21086,12662.0,574,13719,190,65,3514.3,3.6,22.06,65.06,36.74
B Lee,289,20300,14495.0,561,13394,352,584,3383.3,4.28,25.84,65.98,36.19
B Kumar,431,15535,14558.0,559,8905,390,21,2589.2,5.62,26.04,57.32,27.79
Shaheen Shah Afridi,299,14613,12642.0,556,9055,312,83,2435.5,5.19,22.74,61.97,26.28
I Sharma,312,25868,17346.0,545,17767,263,374,4311.3,4.02,31.83,68.68,47.46
A Zampa,393,12157,13143.0,532,4813,137,8,2026.2,6.49,24.7,39.59,22.85
HMRKB Herath,161,26925,13510.0,514,18991,35,10,4487.5,3.01,26.28,70.53,52.38
AU Rashid,324,15076,13987.0,497,7240,157,7,2512.7,5.57,28.14,48.02,30.33
DL Vettori,308,24865,13913.0,493,16632,84,89,4144.2,3.36,28.22,66.89,50.44
Kuldeep Yadav,288,12237,11194.0,481,6185,131,8,2039.5,5.49,23.27,50.54,25.44
KAJ Roach,210,20927,12755.0,473,14967,214,260,3487.8,3.66,26.97,71.52,44.24
Shahid Afridi,389,15007,13038.0,472,7177,267,36,2501.2,5.21,27.62,47.82,31.79
Saeed Ajmal,216,18997,10862.0,469,12726,128,1,3166.2,3.43,23.16,66.99,40.51
YS Chahal,331,9507,11073.0,466,3782,221,27,1584.5,6.99,23.76,39.78,20.4
AS Joseph,273,14517,12916.0,466,8704,362,105,2419.5,5.34,27.72,59.96,31.15
UT Yadav,285,15734,13396.0,463,9743,275,39,2622.3,5.11,28.93,61.92,33.98
Mustafizur Rahman,309,11610,10908.0,462,6282,330,39,1935.0,5.64,23.61,54.11,25.13
Mohammad Amir,293,14977,11365.0,462,9647,339,63,2496.2,4.55,24.6,64.41,32.42
MM Ali,357,20933,15925.0,458,12279,77,20,3488.8,4.56,34.77,58.66,45.71
SR Watson,402,14955,12399.0,456,8813,271,56,2492.5,4.97,27.19,58.93,32.8
CR Woakes,233,17990,12315.0,454,12251,176,37,2998.3,4.11,27.13,68.1,39.63
Hasan Ali,259,11795,10722.0,448,6856,169,90,1965.8,5.45,23.93,58.13,26.33
Umar Gul,232,15671,11573.0,436,10145,265,240,2611.8,4.43,26.54,64.74,35.94
Wahab Riaz,264,12732,11208.0,423,7209,373,231,2122.0,5.28,26.5,56.62,30.1
AD Russell,392,8022,10857.0,423,3277,305,56,1337.0,8.12,25.67,40.85,18.96
GP Swann,170,19795,11280.0,422,13473,42,1,3299.2,3.42,26.73,68.06,46.91
MJ Santner,323,15310,11788.0,405,8712,190,10,2551.7,4.62,29.11,56.9,37.8
Haris Rauf,256,7144,8983.0,404,3117,266,8,1190.7,7.54,22.24,43.63,17.68
DB Sharma,287,10407,8859.0,404,5414,118,14,1734.5,5.11,21.93,52.02,25.76
PM Siddle,202,17317,10608.0,400,12469,111,100,2886.2,3.68,26.52,72.0,43.29
Shadab Khan,311,9398,9846.0,400,4080,128,3,1566.3,6.29,24.62,43.41,23.5
S Ecclestone,233,10359,7404.0,398,6439,113,3,1726.5,4.29,18.6,62.16,26.03
M Ntini,164,16755,10606.0,397,11906,112,83,2792.5,3.8,26.72,71.06,42.2
S Lamichhane,225,7430,6727.0,395,3902,113,2,1238.3,5.43,17.03,52.52,18.81
BA Stokes,271,18659,12795.0,392,12328,247,199,3109.8,4.11,32.64,66.07,47.6
AR Patel,346,11409,10363.0,391,5854,105,2,1901.5,5.45,26.5,51.31,29.18
MJ Henry,172,13454,9608.0,389,8987,162,21,2242.3,4.28,24.7,66.8,34.59
Rashid Khan,280,6516,7489.0,369,2612,97,1,1086.0,6.9,20.3,40.09,17.66
Mohammed Siraj,234,12274,10338.0,368,7838,266,44,2045.7,5.05,28.09,63.86,33.35
Mehedi Hasan Miraz,190,19042,11715.0,363,12346,43,5,3173.7,3.69,32.27,64.84,52.46
CJ Jordan,278,8082,9630.0,359,3662,324,37,1347.0,7.15,26.82,45.31,22.51
KA Maharaj,168,16255,10103.0,355,10885,45,13,2709.2,3.73,28.46,66.96,45.79
JH Kallis,331,16175,11150.0,348,10630,187,38,2695.8,4.14,32.04,65.72,46.48
JC Archer,203,9421,8224.0,342,5830,224,60,1570.2,5.24,24.05,61.88,27.55
A Mishra,225,10591,8523.0,341,6001,81,116,1765.2,4.83,24.99,56.66,31.06
KMDN Kulasekara,257,12699,9904.0,340,7920,223,34,2116.5,4.68,29.13,62.37,37.35
IK Pathan,237,10527,9257.0,339,6247,305,42,1754.5,5.28,27.31,59.34,31.05
JE Taylor,191,12197,9491.0,332,7859,241,103,2032.8,4.67,28.59,64.43,36.74
JP Faulkner,227,6596,7444.0,329,2900,138,19,1099.3,6.77,22.63,43.97,20.05
NLTC Perera,290,8896,9650.0,322,4150,171,12,1482.7,6.51,29.97,46.65,27.63
IS Sodhi,223,9793,9138.0,320,4995,120,10,1632.2,5.6,28.56,51.01,30.6
PWH de Silva,195,6519,6523.0,316,3029,34,11,1086.5,6.0,20.64,46.46,20.63
HH Pandya,332,8198,9385.0,314,3844,324,27,1366.3,6.87,29.89,46.89,26.11
Mohammad Hafeez,364,13421,9379.0,313,7522,132,2,2236.8,4.19,29.96,56.05,42.88
HK Matthews,226,6879,6069.0,311,3524,81,7,1146.5,5.29,19.51,51.23,22.12
Yasir Shah,111,16349,9766.0,311,11005,21,8,2724.8,3.58,31.4,67.31,52.57
Mashrafe Mortaza,244,12891,10477.0,309,7648,214,99,2148.5,4.88,33.91,59.33,41.72
Imad Wasim,316,7823,8058.0,307,3399,145,1,1303.8,6.18,26.25,43.45,25.48
ML Schutt,221,7320,5969.0,306,4333,178,25,1220.0,4.89,19.51,59.19,23.92
L Ngidi,179,7744,7212.0,304,4555,179,29,1290.7,5.59,23.72,58.82,25.47
Taijul Islam,76,16426,8646.0,300,11719,7,11,2737.7,3.16,28.82,71.34,54.75
Sohail Tanvir,240,7354,7619.0,298,3807,328,60,1225.7,6.22,25.57,51.77,24.68
AC Kerr,221,7323,6593.0,298,3493,129,4,1220.5,5.4,22.12,47.7,24.57
BAW Mendis,152,9936,7047.0,295,5891,95,61,1656.0,4.26,23.89,59.29,33.68
A Gardner,221,7433,6018.0,294,4161,107,1,1238.8,4.86,20.47,55.98,25.28
AJ Tye,186,4332,5796.0,292,1659,149,29,722.0,8.03,19.85,38.3,14.84
RAS Lakmal,162,16511,10005.0,292,11572,141,117,2751.8,3.64,34.26,70.09,56.54
R Rampaul,186,9027,7409.0,289,5515,234,75,1504.5,4.92,25.64,61.09,31.24
AJ Hosein,249,6717,7137.0,287,3121,128,23,1119.5,6.38,24.87,46.46,23.4
KD Mills,185,9444,7302.0,287,5950,112,91,1574.0,4.64,25.44,63.0,32.91
M Kapp,235,7876,5967.0,286,4799,242,27,1312.7,4.55,20.86,60.93,27.54
Arshdeep Singh,193,4585,6367.0,284,1958,274,24,764.2,8.33,22.42,42.7,16.14
VD Philander,106,13021,6290.0,283,10051,58,95,2170.2,2.9,22.23,77.19,46.01
JL Jonassen,183,6371,4820.0,280,3603,88,2,1061.8,4.54,17.21,56.55,22.75
RP Singh,202,7907,7283.0,279,4651,279,31,1317.8,5.53,26.1,58.82,28.34
A Flintoff,131,12499,7233.0,277,8753,98,262,2083.2,3.47,26.11,70.03,45.12
A Kumble,110,14640,8271.0,277,10232,37,154,2440.0,3.39,29.86,69.89,52.85
Taskin Ahmed,178,9027,7788.0,275,5442,179,51,1504.5,5.18,28.32,60.29,32.83
SA Abbott,190,4664,5996.0,274,1958,128,32,777.3,7.71,21.88,41.98,17.02
A Nehra,193,6447,6667.0,274,3349,186,39,1074.5,6.2,24.33,51.95,23.53
KA Pollard,358,6086,7619.0,273,2019,288,21,1014.3,7.51,27.91,33.17,22.29
DJG Sammy,286,13035,9415.0,272,7864,99,34,2172.5,4.33,34.61,60.33,47.92
ST Finn,128,10546,7479.0,272,7137,121,32,1757.7,4.26,27.5,67.67,38.77
MA Wood,144,10791,7969.0,269,6997,158,25,1798.5,4.43,29.62,64.84,40.12
Sikandar Raza,288,10022,8645.0,268,5025,169,21,1670.3,5.18,32.26,50.14,37.4
KW Richardson,188,4864,5991.0,265,2100,115,9,810.7,7.39,22.61,43.17,18.35
N Wagner,64,13810,7169.0,265,10432,50,85,2301.7,3.11,27.05,75.54,52.11
SN Thakur,190,6268,7262.0,263,3092,236,62,1044.7,6.95,27.61,49.33,23.83
S Ismail,197,6598,5198.0,259,4038,113,54,1099.7,4.73,20.07,61.2,25.47
T Shamsi,185,6047,6316.0,258,2736,188,11,1007.8,6.27,24.48,45.25,23.44
WD Parnell,181,5957,6342.0,249,3024,183,30,992.8,6.39,25.47,50.76,23.92
GB Hogg,188,7408,6246.0,248,3846,105,12,1234.7,5.06,25.19,51.92,29.87
PP Ojha,137,10550,6536.0,247,7040,51,16,1758.3,3.72,26.46,66.73,42.71
A Nortje,144,6396,6062.0,247,3743,117,28,1066.0,5.69,24.54,58.52,25.89
Junaid Khan,150,9245,6786.0,247,5970,147,43,1540.8,4.4,27.47,64.58,37.43
AD Mathews,331,11028,8174.0,245,6672,117,18,1838.0,4.45,33.36,60.5,45.01
B Muzarabani,165,7145,6079.0,245,4281,165,32,1190.8,5.1,24.81,59.92,29.16
PP Chawla,226,5799,6646.0,245,2470,58,7,966.5,6.88,27.13,42.59,23.67
TT Bresnan,153,9810,7429.0,244,6219,176,15,1635.0,4.54,30.45,63.39,40.2
RL Chase,226,12272,9101.0,243,7153,98,16,2045.3,4.45,37.45,58.29,50.5
GJ Maxwell,390,7730,8430.0,242,3081,131,6,1288.3,6.54,34.83,39.86,31.94
LH Ferguson,170,5558,6222.0,242,2785,243,37,926.3,6.72,25.71,50.11,22.97
Faheem Ashraf,232,6699,6759.0,241,3522,119,32,1116.5,6.05,28.05,52.58,27.8
SM Pollock,144,11724,6010.0,241,8608,70,188,1954.0,3.08,24.94,73.42,48.65
SM Curran,206,7399,7408.0,240,4013,185,25,1233.2,6.01,30.87,54.24,30.83
KH Brunt,158,7041,4565.0,239,4749,184,13,1173.5,3.89,19.1,67.45,29.46
FH Edwards,147,9977,7552.0,238,6401,199,268,1662.8,4.54,31.73,64.16,41.92
NM Coulter-Nile,170,4684,5409.0,236,2165,129,16,780.7,6.93,22.92,46.22,19.85
