bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Adekunle,"Achimota Senior Secondary School A Field, Accra",T20I,2,42,26.0,2,22,3.71,13.0,52.38
A Adekunle,"Achimota Senior Secondary School B Field, Accra",T20I,1,24,15.0,1,15,3.75,15.0,62.5
A Adekunle,Entebbe Cricket Oval,T20I,3,66,51.0,5,34,4.64,10.2,51.52
A Adekunle,"Gahanga B Ground, Rwanda",T20I,7,121,121.0,7,67,6.0,17.29,55.37
A Adekunle,"Gahanga International Cricket Stadium, Rwanda",T20I,7,138,109.0,6,84,4.74,18.17,60.87
A Adekunle,"Namibia Cricket Ground, Windhoek",T20I,1,18,10.0,1,12,3.33,10.0,66.67
A Adekunle,"Tafawa Balewa Square Cricket Oval, Lagos",T20I,2,30,23.0,2,16,4.6,11.5,53.33
A Ahmadhel,Moara Vlasiei Cricket Ground,T20I,1,4,6.0,1,3,9.0,6.0,75.0
A Ahmadhel,"Moara Vlasiei Cricket Ground, Ilfov County",T20I,1,6,15.0,0,1,15.0,15.0,16.67
A Aitken,Sportpark Maarschalkerweerd,T20I,1,24,19.0,0,7,4.75,19.0,29.17
A Aitken,VRA Ground,T20I,2,18,21.0,0,5,7.0,21.0,27.78
A Aitken-Drummond,"Kinrara Academy Oval, Kuala Lumpur",T20I,1,12,18.0,0,5,9.0,18.0,41.67
A Aitken-Drummond,La Manga Club Bottom Ground,T20I,1,16,3.0,3,13,1.12,1.0,81.25
A Aitken-Drummond,La Manga Club Top Ground,T20I,1,12,2.0,0,10,1.0,2.0,83.33
A Aitken-Drummond,Lochlands,T20I,1,7,8.0,0,3,6.86,8.0,42.86
A Aitken-Drummond,Sportpark Het Schootsveld,T20I,2,36,32.0,2,15,5.33,16.0,41.67
A Akhigbe,"Gahanga B Ground, Rwanda",T20I,5,96,92.0,6,53,5.75,15.33,55.21
A Akhigbe,"Gahanga International Cricket Stadium, Rwanda",T20I,5,95,48.0,5,68,3.03,9.6,71.58
A Akhigbe,"Namibia Cricket Ground, Windhoek",T20I,1,5,11.0,0,2,13.2,11.0,40.0
A Akhigbe,"Tafawa Balewa Square Cricket Oval, Lagos",T20I,2,28,31.0,0,16,6.64,31.0,57.14
A Akurut,"Gahanga International Cricket Stadium, Rwanda",T20I,2,20,11.0,1,14,3.3,11.0,70.0
A Akurut,Gahanga International Cricket Stadium. Rwanda,T20I,1,24,6.0,2,19,1.5,3.0,79.17
A Alexander,Gelephu International Cricket Ground,T20I,1,22,19.0,3,12,5.18,6.33,54.55
