player,format,cricsheet_matches,wiki_matches,gap_matches,gap_pct,cricsheet_runs,wiki_runs,wiki_page,flagged,documented_missing_candidates,possible_name_fragments
V Kohli,ODI,311,314.0,3.0,0.96,14819,14941.0,Virat Kohli,False,0,
KC Sangakkara,ODI,298,404.0,106.0,26.24,11640,14234.0,Kumar Sangakkara,True,135,
RG Sharma,ODI,281,288.0,7.0,2.43,11532,11895.0,Rohit Sharma,False,0,
V Kohli,Test,122,123.0,1.0,0.81,9230,9230.0,Virat Kohli,False,0,
RG Sharma,T20I,151,159.0,8.0,5.03,3930,4231.0,Rohit Sharma,True,0,"Rohit Sharma (3m, 74% match); AB Sharma (3m, 75% match); LK Sharma (1m, 75% match); SM Sharma (4m, 75% match); KK Sharma (1m, 75% match); Sandeep Sharma (2m, 57% match); Aarsheya Sharma (1m, 64% match)"
V Kohli,T20I,116,125.0,9.0,7.2,3860,4188.0,Virat Kohli,True,0,
AJ Healy,ODI,102,126.0,24.0,19.05,3334,3777.0,Alyssa Healy,True,158,
E Chigumbura,ODI,160,213.0,53.0,24.88,3266,4340.0,Elton Chigumbura,True,55,
H Kaur,ODI,113,164.0,51.0,31.1,3248,4541.0,Harmanpreet Kaur,True,183,
H Kaur,T20I,148,195.0,47.0,24.1,3225,4019.0,Harmanpreet Kaur,True,0,"K Kaur (3m, 80% match)"
SA Yadav,T20I,108,113.0,5.0,4.42,3194,3272.0,Suryakumar Yadav,True,0,"Likitha Yadav (5m, 63% match); Tarun Yadav (2m, 71% match); Santosh Yadav (1m, 74% match)"
AJ Healy,T20I,125,162.0,37.0,22.84,2630,3054.0,Alyssa Healy,True,0,
