match_id,format,date,venue,city,team1,team2,toss_winner,toss_decision,winner,winner_by,winner_margin,player_of_match,team1_form,team2_form,team1_h2h_rate
66283,ODI,2002-06-27,"""Trent Bridge, Nottingham""",Nottingham,England,Sri Lanka,England,bat,England,,,A Flintoff,0.5,0.5,0.5
66284,ODI,2002-06-29,"""Lord's, London""",London,England,India,England,bat,India,,,Yuvraj Singh,1.0,0.5,0.5
64814,ODI,2002-12-29,"""McLean Park, Napier""",Napier,New Zealand,India,India,field,New Zealand,,,V Sehwag,0.5,1.0,0.5
64022,Test,2002-12-29,"""Kingsmead, Durban""",Durban,South Africa,Pakistan,Pakistan,field,South Africa,,,JH Kallis,0.5,0.5,0.5
64012,Test,2002-12-30,Melbourne Cricket Ground,Melbourne,Australia,England,Australia,bat,Australia,,,JL Langer,0.5,0.5,0.5
64815,ODI,2003-01-01,"""Jade Stadium, Christchurch""",Christchurch,India,New Zealand,India,bat,New Zealand,,,DR Tuffey,0.5,1.0,0.0
64816,ODI,2003-01-04,"""Davies Park, Queenstown""",Queenstown,India,New Zealand,New Zealand,field,New Zealand,,,AR Adams,0.3333333333333333,1.0,0.0
64023,Test,2003-01-05,"""Newlands, Cape Town""",Cape Town,South Africa,Pakistan,South Africa,bat,South Africa,,,HH Gibbs,1.0,0.0,1.0
64013,Test,2003-01-06,Sydney Cricket Ground,Sydney,England,Australia,England,bat,England,,,MP Vaughan,0.3333333333333333,1.0,0.0
64817,ODI,2003-01-08,"""Westpac Stadium, Wellington""",Wellington,New Zealand,India,New Zealand,bat,India,,,Z Khan,1.0,0.25,1.0
65634,ODI,2003-01-09,Sydney Cricket Ground,Sydney,Sri Lanka,Australia,Australia,field,Sri Lanka,,,ST Jayasuriya,0.0,0.5,0.5
65635,ODI,2003-01-11,"""Bellerive Oval, Hobart""",Hobart,Australia,England,Australia,bat,Australia,,,DR Martyn,0.3333333333333333,0.5,0.5
65636,ODI,2003-01-13,Sydney Cricket Ground,Sydney,Sri Lanka,England,Sri Lanka,bat,Sri Lanka,,,ST Jayasuriya,0.5,0.4,0.0
64819,ODI,2003-01-14,"""Westpac Park, Hamilton""",Hamilton,India,New Zealand,New Zealand,field,New Zealand,,,SP Fleming,0.4,0.75,0.25
65637,ODI,2003-01-15,"""Brisbane Cricket Ground, Woolloongabba, Brisbane""",Brisbane,Sri Lanka,Australia,Sri Lanka,bat,Australia,,,MG Bevan,0.6666666666666666,0.5,1.0
65638,ODI,2003-01-17,Adelaide Oval,Adelaide,England,Sri Lanka,England,bat,England,,,AR Caddick,0.3333333333333333,0.5,0.5
65639,ODI,2003-01-19,Adelaide Oval,Adelaide,England,Australia,England,bat,Australia,,,NW Bracken,0.42857142857142855,0.6,0.3333333333333333
65640,ODI,2003-01-21,Melbourne Cricket Ground,Melbourne,Sri Lanka,Australia,Sri Lanka,bat,Australia,,,RT Ponting,0.4,0.6666666666666666,0.5
65641,ODI,2003-01-23,Sydney Cricket Ground,Sydney,England,Australia,England,bat,Australia,,,B Lee,0.375,0.7142857142857143,0.25
65642,ODI,2003-01-25,Melbourne Cricket Ground,Melbourne,Australia,England,Australia,bat,Australia,,,B Lee,0.75,0.3333333333333333,0.8
65235,ODI,2003-02-09,"""Newlands, Cape Town""",Cape Town,West Indies,South Africa,West Indies,bat,West Indies,,,BC Lara,0.5,1.0,0.5
65237,ODI,2003-02-10,"""Goodyear Park, Bloemfontein""",Bloemfontein,Sri Lanka,New Zealand,New Zealand,field,Sri Lanka,,,ST Jayasuriya,0.3333333333333333,0.8,0.5
65236,ODI,2003-02-10,Harare Sports Club,Harare,Zimbabwe,Namibia,Namibia,field,Zimbabwe,,,CB Wishart,0.5,0.5,0.5
65238,ODI,2003-02-11,"""New Wanderers Stadium, Johannesburg""",Johannesburg,Australia,Pakistan,Pakistan,field,Australia,,,A Symonds,0.7777777777777778,0.0,0.5
65239,ODI,2003-02-11,"""Kingsmead, Durban""",Durban,Canada,Bangladesh,Canada,bat,Canada,,,A Codrington,0.5,0.5,0.5
65240,ODI,2003-02-12,"""North West Cricket Stadium, Potchefstroom""",Potchefstroom,Kenya,South Africa,Kenya,bat,South Africa,,,L Klusener,0.5,0.6666666666666666,0.5
65241,ODI,2003-02-12,"""Boland Bank Park, Paarl""",Paarl,India,Netherlands,India,bat,India,,,TBM de Leede,0.3333333333333333,0.5,0.5
65242,ODI,2003-02-13,"""St George's Park, Port Elizabeth""",Gqeberha,New Zealand,West Indies,West Indies,field,New Zealand,,,AR Adams,0.6666666666666666,1.0,0.5
65244,ODI,2003-02-15,"""SuperSport Park, Centurion""",Centurion,India,Australia,India,bat,Australia,,,JN Gillespie,0.42857142857142855,0.8,0.5
65245,ODI,2003-02-15,"""Newlands, Cape Town""",Cape Town,Canada,Kenya,Canada,bat,Kenya,,,TM Odoyo,1.0,0.0,0.5
65247,ODI,2003-02-16,"""De Beers Diamond Oval, Kimberley""",Kimberley,Pakistan,Namibia,Pakistan,bat,Pakistan,,,Wasim Akram,0.0,0.0,0.5
65246,ODI,2003-02-16,"""Buffalo Park, East London""",East London,Netherlands,England,England,field,England,,,JM Anderson,0.0,0.3,0.5
65248,ODI,2003-02-16,"""New Wanderers Stadium, Johannesburg""",Johannesburg,South Africa,New Zealand,South Africa,bat,New Zealand,,,SP Fleming,0.75,0.7142857142857143,0.5
65250,ODI,2003-02-19,Harare Sports Club,Harare,India,Zimbabwe,Zimbabwe,field,India,,,SR Tendulkar,0.375,1.0,0.5
65252,ODI,2003-02-19,"""St George's Park, Port Elizabeth""",Gqeberha,England,Namibia,Namibia,field,England,,,AJ Burger,0.3,0.0,0.5
65251,ODI,2003-02-19,"""Boland Bank Park, Paarl""",Paarl,Canada,Sri Lanka,Sri Lanka,field,Sri Lanka,,,RAP Nissanka,0.5,0.42857142857142855,0.5
65254,ODI,2003-02-22,"""Goodyear Park, Bloemfontein""",Bloemfontein,Bangladesh,South Africa,South Africa,field,South Africa,,,M Ntini,0.0,0.6,0.5
65255,ODI,2003-02-22,"""Newlands, Cape Town""",Cape Town,England,Pakistan,England,bat,England,,,JM Anderson,0.4,0.25,0.5
65256,ODI,2003-02-23,"""SuperSport Park, Centurion""",Centurion,Canada,West Indies,West Indies,field,West Indies,,,JM Davison,0.3333333333333333,0.5,0.5
65257,ODI,2003-02-23,"""City Oval, Pietermaritzburg""",Pietermaritzburg,India,Namibia,Namibia,field,India,,,SR Tendulkar,0.4444444444444444,0.0,0.5
65258,ODI,2003-02-24,"""Gymkhana Club Ground, Nairobi""",Nairobi,Kenya,Sri Lanka,Sri Lanka,field,Kenya,,,CO Obuya,0.5,0.5,0.5
65259,ODI,2003-02-24,"""Queens Sports Club, Bulawayo""",Bulawayo,Zimbabwe,Australia,Zimbabwe,bat,Australia,,,AM Blignaut,0.5,0.8,0.5
65260,ODI,2003-02-25,"""Boland Bank Park, Paarl""",Paarl,Pakistan,Netherlands,Netherlands,field,Pakistan,,,Yousuf Youhana,0.2,0.0,0.5
65261,ODI,2003-02-26,"""De Beers Diamond Oval, Kimberley""",Kimberley,Bangladesh,New Zealand,Bangladesh,bat,New Zealand,,,CD McMillan,0.0,0.75,0.5
65262,ODI,2003-02-26,"""Kingsmead, Durban""",Durban,India,England,India,bat,India,,,A Nehra,0.5,0.5,1.0
65263,ODI,2003-02-27,"""North West Cricket Stadium, Potchefstroom""",Potchefstroom,Australia,Namibia,Australia,bat,Australia,,,GD McGrath,0.9,0.0,0.5
65264,ODI,2003-02-27,"""Buffalo Park, East London""",East London,South Africa,Canada,Canada,field,South Africa,,,HH Dippenaar,0.6666666666666666,0.25,0.5
65265,ODI,2003-02-28,"""Queens Sports Club, Bulawayo""",Bulawayo,Zimbabwe,Netherlands,Netherlands,field,Zimbabwe,,,HH Streak,0.3333333333333333,0.0,0.5
65266,ODI,2003-02-28,"""Newlands, Cape Town""",Cape Town,Sri Lanka,West Indies,Sri Lanka,bat,Sri Lanka,,,WPUJC Vaas,0.4444444444444444,0.6666666666666666,0.5
65267,ODI,2003-03-01,"""New Wanderers Stadium, Johannesburg""",Johannesburg,Kenya,Bangladesh,Kenya,bat,Kenya,,,MO Odumbe,0.6666666666666666,0.0,0.5
65268,ODI,2003-03-01,"""SuperSport Park, Centurion""",Centurion,Pakistan,India,Pakistan,bat,India,,,SR Tendulkar,0.3333333333333333,0.5,0.5
65269,ODI,2003-03-02,"""St George's Park, Port Elizabeth""",Gqeberha,England,Australia,England,bat,Australia,,,AJ Bichel,0.4,1.0,0.16666666666666666
65271,ODI,2003-03-03,"""Goodyear Park, Bloemfontein""",Bloemfontein,Netherlands,Namibia,Netherlands,bat,Netherlands,,,JF Kloppenburg,0.0,0.0,0.5
65270,ODI,2003-03-03,"""Willowmoore Park, Benoni""",Benoni,Canada,New Zealand,New Zealand,field,New Zealand,,,JM Davison,0.2,0.7777777777777778,0.5
65275,ODI,2003-03-07,"""SuperSport Park, Centurion""",Centurion,Australia,Sri Lanka,Australia,bat,Australia,,,RT Ponting,1.0,0.5,0.6666666666666666
65276,ODI,2003-03-07,"""Newlands, Cape Town""",Cape Town,Kenya,India,Kenya,bat,India,,,SC Ganguly,0.75,0.6,0.5
65277,ODI,2003-03-08,"""Goodyear Park, Bloemfontein""",Bloemfontein,Zimbabwe,New Zealand,Zimbabwe,bat,New Zealand,,,NJ Astle,0.5,0.8,0.5
65278,ODI,2003-03-10,"""New Wanderers Stadium, Johannesburg""",Johannesburg,India,Sri Lanka,Sri Lanka,field,India,,,J Srinath,0.7,0.5,0.5
65279,ODI,2003-03-11,"""St George's Park, Port Elizabeth""",Gqeberha,Australia,New Zealand,New Zealand,field,Australia,,,SE Bond,1.0,0.8,0.5
65280,ODI,2003-03-12,"""Goodyear Park, Bloemfontein""",Bloemfontein,Zimbabwe,Kenya,Zimbabwe,bat,Kenya,,,MA Suji,0.4,0.6,0.5
65281,ODI,2003-03-14,"""SuperSport Park, Centurion""",Centurion,New Zealand,India,India,field,India,,,Z Khan,0.7,0.8,0.8
65282,ODI,2003-03-15,"""Buffalo Park, East London""",East London,Sri Lanka,Zimbabwe,Sri Lanka,bat,Sri Lanka,,,MS Atapattu,0.4,0.3333333333333333,0.5
65283,ODI,2003-03-15,"""Kingsmead, Durban""",Durban,Kenya,Australia,Australia,field,Australia,,,AY Karim,0.6666666666666666,1.0,0.5
65284,ODI,2003-03-18,"""St George's Park, Port Elizabeth""",Gqeberha,Australia,Sri Lanka,Australia,bat,Australia,,,A Symonds,1.0,0.4,0.75
65285,ODI,2003-03-20,"""Kingsmead, Durban""",Durban,India,Kenya,India,bat,India,,,SC Ganguly,0.8,0.5714285714285714,1.0
65286,ODI,2003-03-23,"""New Wanderers Stadium, Johannesburg""",Johannesburg,Australia,India,India,field,Australia,,,RT Ponting,1.0,0.9,1.0
65803,ODI,2003-04-03,Sharjah Cricket Association Stadium,Sharjah,Pakistan,Zimbabwe,Pakistan,bat,Pakistan,,,Abdul Razzaq,0.2857142857142857,0.2857142857142857,0.5
65804,ODI,2003-04-04,Sharjah Cricket Association Stadium,Sharjah,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,,,KC Sangakkara,0.4,0.375,0.5
65805,ODI,2003-04-05,Sharjah Cricket Association Stadium,Sharjah,Kenya,Zimbabwe,Kenya,bat,Zimbabwe,,,DA Marillier,0.5,0.25,1.0
65806,ODI,2003-04-06,Sharjah Cricket Association Stadium,Sharjah,Sri Lanka,Kenya,Sri Lanka,bat,Sri Lanka,,,KC Sangakkara,0.4,0.4444444444444444,0.0
65807,ODI,2003-04-07,Sharjah Cricket Association Stadium,Sharjah,Sri Lanka,Zimbabwe,Sri Lanka,bat,Zimbabwe,,,GW Flower,0.5,0.3333333333333333,1.0
65808,ODI,2003-04-08,Sharjah Cricket Association Stadium,Sharjah,Pakistan,Kenya,Pakistan,bat,Pakistan,,,Shoaib Malik,0.4444444444444444,0.4,0.5
65809,ODI,2003-04-10,Sharjah Cricket Association Stadium,Sharjah,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan,,,Taufeeq Umar,0.4,0.5,0.0
66357,ODI,2003-05-10,Rangiri Dambulla International Stadium,Dambulla,Pakistan,Sri Lanka,Sri Lanka,field,Pakistan,,,Mohammad Hafeez,0.6,0.4,1.0
66358,ODI,2003-05-11,Rangiri Dambulla International Stadium,Dambulla,Pakistan,New Zealand,New Zealand,field,New Zealand,,,DR Tuffey,0.7,0.6,0.5
64027,Test,2003-05-13,"""Antigua Recreation Ground, St John's, Antigua""",St John's,Australia,West Indies,Australia,bat,West Indies,,,S Chanderpaul,1.0,0.5,0.5
64820,ODI,2003-05-17,"""Sabina Park, Kingston, Jamaica""",Kingston,Australia,West Indies,West Indies,field,Australia,,,RT Ponting,0.9,0.6,0.0
66361,ODI,2003-05-19,Rangiri Dambulla International Stadium,Dambulla,New Zealand,Sri Lanka,Sri Lanka,field,New Zealand,,,DL Vettori,0.7,0.3,0.0
66363,ODI,2003-05-23,Rangiri Dambulla International Stadium,Dambulla,Pakistan,New Zealand,Pakistan,bat,New Zealand,,,SP Fleming,0.7,0.7,0.0
64825,ODI,2003-05-30,"""Queen's Park (New), St George's, Grenada""",St George's,Australia,West Indies,Australia,bat,West Indies,,,WW Hinds,0.9,0.5,0.5
64826,ODI,2003-06-01,"""Queen's Park (New), St George's, Grenada""",St George's,Australia,West Indies,Australia,bat,West Indies,,,CH Gayle,0.8,0.5714285714285714,0.3333333333333333
