match_id,format,venue,city,date,toss_winner,toss_decision,winner,winner_by,winner_margin,player_of_match,method,team1,team2,team1_form,team2_form,team1_h2h_rate,toss_advantage,target
66283,ODI,"""Trent Bridge, Nottingham""",Nottingham,2002-06-27,England,bat,England,,,A Flintoff,,England,Sri Lanka,0.5,0.5,0.5,1,1
66284,ODI,"""Lord's, London""",London,2002-06-29,England,bat,India,,,Yuvraj Singh,,England,India,1.0,0.5,0.5,1,0
64814,ODI,"""McLean Park, Napier""",Napier,2002-12-29,India,field,New Zealand,,,V Sehwag,,New Zealand,India,0.5,1.0,0.5,0,1
64022,Test,"""Kingsmead, Durban""",Durban,2002-12-29,Pakistan,field,South Africa,,,JH Kallis,,South Africa,Pakistan,0.5,0.5,0.5,0,1
64012,Test,Melbourne Cricket Ground,Melbourne,2002-12-30,Australia,bat,Australia,,,JL Langer,,Australia,England,0.5,0.5,0.5,1,1
64815,ODI,"""Jade Stadium, Christchurch""",Christchurch,2003-01-01,India,bat,New Zealand,,,DR Tuffey,,India,New Zealand,0.5,1.0,0.0,1,0
64816,ODI,"""Davies Park, Queenstown""",Queenstown,2003-01-04,New Zealand,field,New Zealand,,,AR Adams,,India,New Zealand,0.3333333333333333,1.0,0.0,0,0
64023,Test,"""Newlands, Cape Town""",Cape Town,2003-01-05,South Africa,bat,South Africa,,,HH Gibbs,,South Africa,Pakistan,1.0,0.0,1.0,1,1
64013,Test,Sydney Cricket Ground,Sydney,2003-01-06,England,bat,England,,,MP Vaughan,,England,Australia,0.3333333333333333,1.0,0.0,1,1
64817,ODI,"""Westpac Stadium, Wellington""",Wellington,2003-01-08,New Zealand,bat,India,,,Z Khan,,New Zealand,India,1.0,0.25,1.0,1,0
65634,ODI,Sydney Cricket Ground,Sydney,2003-01-09,Australia,field,Sri Lanka,,,ST Jayasuriya,,Sri Lanka,Australia,0.0,0.5,0.5,0,1
65635,ODI,"""Bellerive Oval, Hobart""",Hobart,2003-01-11,Australia,bat,Australia,,,DR Martyn,,Australia,England,0.3333333333333333,0.5,0.5,1,1
65636,ODI,Sydney Cricket Ground,Sydney,2003-01-13,Sri Lanka,bat,Sri Lanka,,,ST Jayasuriya,,Sri Lanka,England,0.5,0.4,0.0,1,1
64819,ODI,"""Westpac Park, Hamilton""",Hamilton,2003-01-14,New Zealand,field,New Zealand,,,SP Fleming,,India,New Zealand,0.4,0.75,0.25,0,0
65637,ODI,"""Brisbane Cricket Ground, Woolloongabba, Brisbane""",Brisbane,2003-01-15,Sri Lanka,bat,Australia,,,MG Bevan,,Sri Lanka,Australia,0.6666666666666666,0.5,1.0,1,0
65638,ODI,Adelaide Oval,Adelaide,2003-01-17,England,bat,England,,,AR Caddick,,England,Sri Lanka,0.3333333333333333,0.5,0.5,1,1
65639,ODI,Adelaide Oval,Adelaide,2003-01-19,England,bat,Australia,,,NW Bracken,,England,Australia,0.42857142857142855,0.6,0.3333333333333333,1,0
65640,ODI,Melbourne Cricket Ground,Melbourne,2003-01-21,Sri Lanka,bat,Australia,,,RT Ponting,,Sri Lanka,Australia,0.4,0.6666666666666666,0.5,1,0
