striker,year,format,runs,balls_faced,dismissals,matches,fours,sixes,average,strike_rate,lag1_runs,lag1_avg,lag1_sr,lag1_matches,career_runs_to_date,predicted_runs,shap_lag1_runs,shap_lag1_avg,shap_lag1_sr,shap_lag1_matches,shap_career_runs_to_date,shap_base_value
A Adekunle,2026,T20I,100,139,8,9,10,0,12.5,71.94,12.0,6.0,60.0,4.0,19,29.0,-141.3759164255704,0.47963382599371446,1.3132272988779092,8.316067255837359,-10.277448013247934,170.64744859122928
A Aikenhead,2026,T20I,98,78,2,2,14,0,49.0,125.64,118.0,39.33,95.93,6.0,226,120.0,-31.041300526236768,2.1329694590431503,-0.7883494017123815,-1.622839565091338,-19.681653097922695,170.64744859122928
A Akhigbe,2026,T20I,5,16,2,2,0,0,2.5,31.25,9.0,1.5,32.14,6.0,81,51.0,-124.26752998151993,2.6691166960310735,6.643720149913601,-1.9711064688590636,-2.5811653472990725,170.64744859122928
A Alfonso,2026,T20I,13,28,5,5,1,0,2.6,46.43,5.0,2.5,71.43,3.0,18,19.0,-156.14119069946085,1.8000355355619952,-0.45051659018245577,15.304053143348188,-12.539489364133484,170.64744859122928
A Argyropoulou,2026,T20I,95,156,9,9,5,2,10.56,60.9,108.0,13.5,73.97,8.0,232,101.0,-36.75451977655702,-7.056539675662061,3.299448284233075,-14.175203210650142,-15.15269104218397,170.64744859122928
A Augastin,2026,T20I,145,102,2,4,15,4,72.5,142.16,170.0,18.89,106.25,9.0,170,137.0,2.0783468840626584,-10.266538070597734,-3.2513871328634862,-9.55537110568012,-12.59474798086428,170.64744859122928
A Badoni,2026,IPL,430,282,20,10,46,18,21.5,152.48,549.0,34.31,152.08,11.0,1183,305.0,160.38171035174722,-2.8815778828411895,-13.229820099740078,-4.036019350602139,-6.3435777432644835,170.64744859122928
A Balbirnie,2026,Test,27,39,2,1,4,0,13.5,69.23,147.0,24.5,46.37,3.0,402,212.0,3.887604431033533,-2.131123323061694,11.903668974323711,38.91524624239709,-11.149224474196886,170.64744859122928
A Bosch,2026,ODI,94,98,2,2,12,0,47.0,95.92,45.0,6.43,64.29,7.0,400,91.0,-76.92432764461981,-3.2523696192694143,3.259659176500046,-10.092517253903374,7.5599887492939395,170.64744859122928
A Bosch,2026,T20I,25,25,3,3,2,1,8.33,100.0,405.0,27.0,116.71,17.0,910,268.0,121.60906811278711,-2.915380392929157,-13.289508291107083,-5.936014722895281,-1.6863393375596187,170.64744859122928
A Busing-Volschenk,2026,T20I,187,133,5,7,4,15,37.4,140.6,26.0,26.0,162.5,3.0,26,34.0,-133.84834263122235,-7.701941357926465,-1.5473080859751378,13.271116321094066,-7.152892650450887,170.64744859122928
A Canning,2026,T20I,18,16,3,3,2,0,6.0,112.5,12.0,3.0,60.0,4.0,60,36.0,-138.19593259007337,1.653345343381694,1.5155748504364035,8.050022761402237,-8.048444447745219,170.64744859122928
A Capsey,2026,ODI,45,45,1,1,4,0,45.0,100.0,204.0,18.55,71.08,12.0,469,157.0,9.83943665622027,-12.262572419261703,1.6621335708763343,-10.036209831005957,-2.6752676253591963,170.64744859122928
A Capsey,2026,T20I,312,226,10,11,33,7,31.2,138.05,40.0,6.67,76.92,6.0,741,115.0,-87.88497847920908,-3.111934010403789,2.0139338980766293,-3.324478305434403,36.28546983567998,170.64744859122928
A Chandel,2026,T20I,9,10,2,2,0,0,4.5,90.0,113.0,18.83,90.4,10.0,343,116.0,-28.613442456898095,-5.247444252804862,2.1495392997786698,-13.462900079460981,-9.405055231892828,170.64744859122928
A Chilia,2026,T20I,5,12,4,4,0,0,1.25,41.67,32.0,6.4,43.24,8.0,126,56.0,-102.70407158667433,-1.4331054906195098,4.472268306632696,-9.224050207753196,-5.704715108228577,170.64744859122928
A Curavic,2026,T20I,1,2,1,1,0,0,1.0,50.0,5.0,1.67,25.0,3.0,5,19.0,-168.49472127506994,0.6971854932083296,12.081841668719886,17.7162761917255,-13.937645603127365,170.64744859122928
A Dcosta,2026,T20I,64,77,6,6,4,0,10.67,83.12,17.0,5.67,50.0,5.0,49,35.0,-131.87496893099765,0.611914830769387,2.157533045782583,3.171467525590949,-10.213319464510969,170.64744859122928
A Dercksen,2026,ODI,294,317,5,5,25,8,58.8,92.74,387.0,35.18,97.73,13.0,457,271.0,132.1552433121218,-0.9468839123663324,-4.858973255989623,-5.511110563251741,-20.907695252299824,170.64744859122928
A Dhabe,2026,T20I,129,132,4,11,7,5,32.25,97.73,32.0,10.67,76.19,5.0,32,55.0,-114.05737638385217,1.9307969869049897,1.2806759860308878,2.869659175329954,-7.904652355972828,170.64744859122928
A Dirannehelage,2026,T20I,80,159,7,8,5,0,11.43,50.31,126.0,126.0,86.9,3.0,158,171.0,-35.74008238489254,20.23409794703575,0.5381388004793185,30.634505178671134,-15.266288999220848,170.64744859122928
A Dizija,2026,T20I,83,99,5,5,8,2,16.6,83.84,144.0,28.8,123.08,6.0,601,191.0,0.4412597581722819,2.0568994569690644,-7.0976463288748795,1.9256174831110338,23.159133124900066,170.64744859122928
A Donovan,2026,T20I,68,87,3,5,5,1,22.67,78.16,355.0,50.71,168.25,11.0,357,285.0,138.35308917393718,4.645125122656566,-0.11049981614974122,-9.71260943505549,-18.5091082184981,170.64744859122928
A Dutt,2026,ODI,4,15,2,2,0,0,2.0,26.67,14.0,4.67,48.28,4.0,207,67.0,-124.33381753544134,-0.5623309303319102,4.484749269243969,9.893600132050155,6.619209600291454,170.64744859122928
