cricsheet_name,full_name
V Kohli,Virat Kohli
AN Cook,Allan Cook (cricketer)
KC Sangakkara,Kumar Sangakkara
RG Sharma,Rohit Sharma
SPD Smith,Steve Smith (cricketer)
MJ Clarke,Michael Clarke (cricketer)
LRPL Taylor,Ross Taylor
KP Pietersen,Kevin Pietersen
DPMD Jayawardene,Mahela Jayawardene
Tamim Iqbal,Tamim Iqbal
MG Johnson,Mitchell Johnson
Harbhajan Singh,Harbhajan Singh
Shadab Khan,Shadab Khan
B Lee,Brett Lee
I Sharma,Sharma
Abdur Razzak,Abdur Razzak (cricketer)
B Kumar,Vinod Kumar
Z Khan,Zeeshan
SL Malinga,Lasith Malinga
